file_path,configs,datasets,environments,robot_devices,utilities,best_module,best_likelihood
lerobot\tests\datasets\test_lerobot_dataset.py,8.949996948242188,133.51918029785156,11.968095779418945,21.16574478149414,26.64984893798828,datasets,133.51918029785156
lerobot\tests\policies\pi0_pi05\openpi_pytorch\image_tools.py,3.5937647819519043,4.649797439575195,2.2610647678375244,1.89892578125,9.890862464904785,utilities,9.890862464904785
lerobot\src\lerobot\policies\xvla\soft_transformer.py,9.356727600097656,15.750616073608398,3.634495496749878,30.547332763671875,19.841732025146484,robot_devices,30.547332763671875
lerobot\src\lerobot\rollout\strategies\factory.py,18.580778121948242,0.2941274344921112,2.288745641708374,3.352656841278076,0.5175405144691467,configs,18.580778121948242
lerobot\tests\annotations\test_pipeline_recipe_render.py,25.678375244140625,112.19944763183594,5.591003894805908,56.8564567565918,14.748187065124512,datasets,112.19944763183594
lerobot\tests\test_control_robot.py,0.4828040897846222,118.45292663574219,4.25196647644043,61.16916275024414,12.858551979064941,datasets,118.45292663574219
lerobot\tests\utils\test_random_utils.py,1.8890845775604248,2.6929452419281006,1.8176459074020386,0.9445422887802124,2.3790276050567627,datasets,2.6929452419281006
lerobot\src\lerobot\rl\eval_policy.py,20.557146072387695,45.141929626464844,5.554085731506348,48.396427154541016,5.937047004699707,robot_devices,48.396427154541016
lerobot\tests\training\test_multi_gpu.py,40.525516510009766,115.46578979492188,86.86373901367188,94.4393081665039,28.901334762573242,datasets,115.46578979492188
lerobot\src\lerobot\robots\config.py,17.124441146850586,5.69627046585083,1.3760778903961182,64.85249328613281,2.764657735824585,robot_devices,64.85249328613281
lerobot\src\lerobot\policies\diffusion\modeling_diffusion.py,29.804574966430664,15.43233585357666,8.437956809997559,85.82601928710938,24.613357543945312,robot_devices,85.82601928710938
lerobot\tests\test_available.py,0.0,106.05104064941406,0.5695127844810486,4.216025352478027,6.694349765777588,datasets,106.05104064941406
lerobot\src\lerobot\motors\feetech\feetech.py,9.347261428833008,20.45150375366211,6.046767711639404,23.876686096191406,26.36468505859375,utilities,26.36468505859375
lerobot\src\lerobot\policies\xvla\utils.py,6.828455448150635,8.596673965454102,3.3055148124694824,4.744410991668701,12.973586082458496,utilities,12.973586082458496
lerobot\src\lerobot\rollout\strategies\base.py,8.901379585266113,38.183780670166016,8.523767471313477,56.79682540893555,19.231334686279297,robot_devices,56.79682540893555
lerobot\src\lerobot\rl\algorithms\factory.py,23.520130157470703,1.2299079895019531,5.445828914642334,4.722586154937744,2.9991142749786377,configs,23.520130157470703
lerobot\src\lerobot\policies\fastwam\modeling_fastwam.py,34.19679641723633,55.15419387817383,9.189067840576172,41.1240348815918,30.441545486450195,datasets,55.15419387817383
lerobot\tests\rl\test_actor_learner.py,29.755231857299805,104.88957214355469,8.862133979797363,37.34474182128906,18.886369705200195,datasets,104.88957214355469
lerobot\src\lerobot\teleoperators\bi_so_leader\__init__.py,0.0,0.0,0.0,3.42873477935791,0.39877748489379883,robot_devices,3.42873477935791
lerobot\tests\processor\test_libero_processor.py,3.5573554039001465,4.991015434265137,2.3431596755981445,43.678890228271484,1.2835687398910522,robot_devices,43.678890228271484
lerobot\src\lerobot\datasets\pyav_utils.py,5.549177646636963,83.61133575439453,4.046712398529053,4.045096397399902,15.300894737243652,datasets,83.61133575439453
lerobot\tests\policies\lingbot_va\test_processor.py,24.625865936279297,42.26304244995117,3.7649612426757812,24.73707389831543,7.956175804138184,datasets,42.26304244995117
lerobot\src\lerobot\teleoperators\openarm_leader\__init__.py,0.0,0.0,0.0,3.42873477935791,0.0,robot_devices,3.42873477935791
lerobot\examples\dataset\use_dataset_image_transforms.py,33.234458923339844,49.28845977783203,4.7899932861328125,5.282527446746826,10.205106735229492,datasets,49.28845977783203
lerobot\src\lerobot\robots\hope_jr\__init__.py,0.6702657341957092,0.6702657341957092,1.4089395999908447,48.51290512084961,1.3405314683914185,robot_devices,48.51290512084961
lerobot\src\lerobot\policies\evo1\modeling_evo1.py,39.53155517578125,22.65300941467285,17.171531677246094,47.793418884277344,31.77289581298828,robot_devices,47.793418884277344
lerobot\src\lerobot\configs\default.py,61.48788070678711,19.417356491088867,7.669443607330322,10.880643844604492,16.66558265686035,configs,61.48788070678711
lerobot\tests\rl\test_sac_algorithm.py,33.48141098022461,97.75992584228516,8.77891731262207,31.371488571166992,16.290441513061523,datasets,97.75992584228516
lerobot\tests\training\test_visual_validation.py,28.622230529785156,116.05355834960938,7.525839805603027,48.16580581665039,13.744025230407715,datasets,116.05355834960938
lerobot\tests\mocks\mock_teleop.py,18.19009780883789,3.0,0.550971508026123,45.69158172607422,0.7880673408508301,robot_devices,45.69158172607422
lerobot\src\lerobot\utils\rerun_visualization.py,1.2611968517303467,11.715084075927734,0.3652607202529907,46.66348648071289,10.153057098388672,robot_devices,46.66348648071289
lerobot\src\lerobot\utils\hub.py,27.059804916381836,11.581738471984863,5.975949764251709,7.419992446899414,15.554325103759766,configs,27.059804916381836
lerobot\src\lerobot\cameras\realsense\__init__.py,0.0,0.0,0.0,6.33103084564209,0.0,robot_devices,6.33103084564209
lerobot\src\lerobot\policies\smolvla\smolvlm_with_expert.py,27.652450561523438,20.58025550842285,3.727701425552368,39.460182189941406,22.0091552734375,robot_devices,39.460182189941406
lerobot\tests\optim\test_schedulers.py,22.01370620727539,5.054309368133545,5.059687614440918,1.2439476251602173,11.11250114440918,configs,22.01370620727539
lerobot\examples\tutorial\act\act_training_example.py,13.16391658782959,53.30413055419922,10.082632064819336,84.1147689819336,16.842973709106445,robot_devices,84.1147689819336
lerobot\src\lerobot\policies\eo1\modeling_eo1.py,29.089248657226562,19.474225997924805,6.641627311706543,39.512550354003906,19.642858505249023,robot_devices,39.512550354003906
lerobot\src\lerobot\cameras\realsense\camera_realsense.py,36.49250411987305,23.849163055419922,9.796544075012207,118.34223175048828,16.75337028503418,robot_devices,118.34223175048828
lerobot\src\lerobot\configs\video.py,73.6622543334961,43.465572357177734,5.546971797943115,5.14675760269165,13.8168363571167,configs,73.6622543334961
lerobot\tests\utils\test_process.py,0.946666955947876,99.35575866699219,4.450708389282227,3.0520472526550293,5.455987453460693,datasets,99.35575866699219
lerobot\tests\scripts\test_train_remote_dispatch.py,6.534914970397949,105.60393524169922,3.5511531829833984,4.668303489685059,6.712740898132324,datasets,105.60393524169922
lerobot\src\lerobot\teleoperators\bi_openarm_mini\__init__.py,0.29508912563323975,0.0,0.29508912563323975,3.42873477935791,0.29508912563323975,robot_devices,3.42873477935791
lerobot\src\lerobot\policies\wall_x\configuration_wall_x.py,34.87604522705078,15.58542537689209,8.070659637451172,48.77840042114258,7.798182964324951,robot_devices,48.77840042114258
lerobot\src\lerobot\rollout\strategies\sentry.py,30.594179153442383,59.538963317871094,11.272314071655273,57.09231185913086,30.278318405151367,datasets,59.538963317871094
lerobot\tests\rewards\__init__.py,0.0,0.0,0.6014541983604431,0.0,0.0,environments,0.6014541983604431
lerobot\src\lerobot\rewards\sarm\__init__.py,0.7409500479698181,0.9394633769989014,0.7409500479698181,3.869401454925537,1.1873000860214233,robot_devices,3.869401454925537
lerobot\tests\jobs\test_dataset.py,1.8629738092422485,116.63346099853516,2.132145643234253,5.6914167404174805,12.441950798034668,datasets,116.63346099853516
lerobot\src\lerobot\cameras\reachy2_camera\configuration_reachy2_camera.py,11.492916107177734,7.023752212524414,3.8701834678649902,9.435368537902832,6.092441082000732,configs,11.492916107177734
lerobot\src\lerobot\scripts\lerobot_record.py,30.209835052490234,60.51033401489258,85.27566528320312,94.83485412597656,26.8880558013916,robot_devices,94.83485412597656
lerobot\src\lerobot\policies\wall_x\qwen_model\configuration_qwen2_5_vl.py,89.7666244506836,8.524246215820312,3.8647048473358154,4.224658489227295,10.776087760925293,configs,89.7666244506836
lerobot\src\lerobot\robots\unitree_g1\g1_utils.py,0.5278242826461792,1.9995847940444946,1.0980373620986938,55.191341400146484,4.0221757888793945,robot_devices,55.191341400146484
lerobot\src\lerobot\scripts\lerobot_rollout.py,3.9204235076904297,9.116225242614746,5.338547706604004,60.503334045410156,6.551165580749512,robot_devices,60.503334045410156
lerobot\tests\datasets\test_dataset_tools.py,8.750732421875,165.6227569580078,11.213130950927734,16.51058006286621,27.14674186706543,datasets,165.6227569580078
lerobot\tests\policies\lingbot_va\test_factory.py,22.559995651245117,0.4654427766799927,5.546609401702881,27.17543601989746,3.8293824195861816,robot_devices,27.17543601989746
lerobot\tests\processor\test_act_processor.py,27.24822235107422,25.693674087524414,4.74211311340332,35.897640228271484,6.560568332672119,robot_devices,35.897640228271484
lerobot\src\lerobot\configs\__init__.py,73.30240631103516,8.446134567260742,2.0,3.6999423503875732,3.0086402893066406,configs,73.30240631103516
lerobot\src\lerobot\policies\pi0\__init__.py,0.836871862411499,1.0610843896865845,0.836871862411499,4.370326042175293,3.5112788677215576,robot_devices,4.370326042175293
lerobot\src\lerobot\policies\rtc\latency_tracker.py,0.9955276250839233,0.0,0.6740859746932983,3.6999423503875732,2.794036388397217,robot_devices,3.6999423503875732
