file_path,dsp,feature,filter_bank,mir,best_module,best_likelihood
audioFlux\include\wvd_algorithm.h,3.467233419418335,2.0,0.0,1.4153186082839966,dsp,3.467233419418335
audioFlux\include\fst_algorithm.h,20.85311508178711,2.0,0.0,1.4148250818252563,dsp,20.85311508178711
audioFlux\src\dsp\dft_algorithm.h,100.89424896240234,1.6707913875579834,0.0,1.4109184741973877,dsp,100.89424896240234
audioFlux\src\filterbank\dwt_filterCoef.h,19.493515014648438,1.678594946861267,87.62593841552734,1.0,filter_bank,87.62593841552734
audioFlux\include\classic\nmf.h,2.0,1.5861319303512573,0.7375956773757935,1.9834609031677246,dsp,2.0
audioFlux\src\spectrogram_algorithm.c,36.95647430419922,34.78220748901367,121.00237274169922,72.6684799194336,filter_bank,121.00237274169922
audioFlux\src\classic\trist.h,2.0,1.0,0.0,1.0,dsp,2.0
audioFlux\src\mir\_pitch_cep.c,10.270439147949219,3.162728786468506,0.0,68.00019836425781,mir,68.00019836425781
audioFlux\src\util\flux_wave.h,2.0,4.0034966468811035,0.0,15.607954025268555,mir,15.607954025268555
audioFlux\src\dsp\filterDesign_fir.c,66.737060546875,1.0,220.5407257080078,54.955196380615234,filter_bank,220.5407257080078
audioFlux\src\dsp\phase_vocoder.h,86.44942474365234,4.676952362060547,0.0,4.185692310333252,dsp,86.44942474365234
audioFlux\src\mir\_pitch_hps.h,16.90616226196289,3.579252243041992,0.0,86.25060272216797,mir,86.25060272216797
audioFlux\include\mir\harmonic_algorithm.h,3.457970380783081,4.501743793487549,0.0,82.50393676757812,mir,82.50393676757812
audioFlux\src\track\tune_track.c,26.505205154418945,9.353492736816406,39.44504165649414,37.948551177978516,filter_bank,39.44504165649414
audioFlux\include\mir\hpss_algorithm.h,3.459041118621826,2.0,0.0,78.57322692871094,mir,78.57322692871094
audioFlux\include\cqt_algorithm.h,4.429895401000977,18.33683204650879,38.0,1.382129192352295,filter_bank,38.0
audioFlux\src\nsgt_algorithm.h,4.441494464874268,7.0,38.0,3.7456061840057373,filter_bank,38.0
audioFlux\src\filterbank\auditory_filterBank.c,20.2292537689209,8.181268692016602,172.8306884765625,64.29180908203125,filter_bank,172.8306884765625
audioFlux\include\dsp\xcorr_algorithm.h,83.6019058227539,1.0,0.0,1.4109184741973877,dsp,83.6019058227539
audioFlux\include\stft_algorithm.h,3.435617685317993,2.0,0.6819583177566528,5.397963047027588,mir,5.397963047027588
audioFlux\src\dsp\filterDesign_freqz.h,81.87548828125,1.0,65.14152526855469,13.773162841796875,dsp,81.87548828125
audioFlux\src\dsp\conv_algorithm.c,68.37583923339844,6.358095645904541,3.5095102787017822,3.0126595497131348,dsp,68.37583923339844
audioFlux\src\flux_spectral.c,5.623478889465332,26.6094913482666,10.815107345581055,28.284889221191406,mir,28.284889221191406
audioFlux\src\fst_algorithm.c,21.534786224365234,2.0,1.092318058013916,13.247838973999023,dsp,21.534786224365234
audioFlux\include\classic\hmm.h,2.0,4.400918960571289,3.90157413482666,13.495323181152344,mir,13.495323181152344
audioFlux\src\nsgt_algorithm.c,20.182205200195312,7.579045295715332,83.4634017944336,26.140522003173828,filter_bank,83.4634017944336
audioFlux\include\mir\_pitch_cep.h,16.90616226196289,3.0794694423675537,0.0,82.58277130126953,mir,82.58277130126953
audioFlux\src\flux_base.h,29.880075454711914,10.101305961608887,185.64772033691406,65.3615493774414,filter_bank,185.64772033691406
audioFlux\src\mir\_pitch_hps.c,17.493778228759766,3.6819090843200684,0.0,70.88978576660156,mir,70.88978576660156
audioFlux\src\filterbank\coef\__coef_r.h,40.511749267578125,1.0,45.180419921875,47.22831726074219,mir,47.22831726074219
audioFlux\src\dsp\xcorr_algorithm.h,83.6019058227539,1.0,0.0,1.4109184741973877,dsp,83.6019058227539
audioFlux\src\mir\onset_algorithm.h,3.4434890747070312,1.4839791059494019,36.81195068359375,93.49952697753906,mir,93.49952697753906
audioFlux\src\classic\hmm.h,2.0,4.400918960571289,3.90157413482666,13.495323181152344,mir,13.495323181152344
