file_path,Apps,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\CheckIfConfIsRunningCommand.java,16.58891487121582,108.98219299316406,8.038457870483398,6.517172813415527,2.315654754638672,FreeSWITCH,108.98219299316406
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\RecordingServiceHelper.java,14.109265327453613,3.2243049144744873,9.581850051879883,9.304838180541992,3.1067163944244385,Apps,14.109265327453613
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\PageConverter.java,8.45901107788086,3.419071912765503,106.83706665039062,1.272850751876831,4.752688407897949,Presentation Conversion,106.83706665039062
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\ParamsProcessorUtil.java,27.20429801940918,14.190899848937988,51.259342193603516,13.093624114990234,11.412652969360352,Presentation Conversion,51.259342193603516
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Group.java,11.040485382080078,3.1368136405944824,4.569817066192627,0.0,1.0684068202972412,Apps,11.040485382080078
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\Pattern.java,16.92428207397461,8.819212913513184,9.082157135009766,4.755547523498535,9.251036643981934,Apps,16.92428207397461
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\WaitingGuestCleanupTimerTask.java,17.68793487548828,2.1389594078063965,7.429928302764893,2.6418890953063965,7.477936267852783,Apps,17.68793487548828
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceUsersStatusEvent.java,9.06053638458252,100.31237030029297,1.0094997882843018,5.831266403198242,4.19851016998291,FreeSWITCH,100.31237030029297
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\VoiceConfRunningAndRecordingEvent.java,9.06053638458252,100.31237030029297,2.8109164237976074,12.463479995727539,4.19851016998291,FreeSWITCH,100.31237030029297
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\PresentationConvertMessage.java,6.6895012855529785,2.145421266555786,94.60539245605469,2.108203887939453,10.081503868103027,Presentation Conversion,94.60539245605469
