file_path,configs,datasets,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\examples\tutorial\diffusion\diffusion_using_example.py,19.474910736083984,33.022369384765625,11.97998332977295,99.63375854492188,9.389981269836426,robot_devices,99.63375854492188
lerobot\src\lerobot\common\control_utils.py,9.874777793884277,38.31892776489258,21.75324058532715,104.03514099121094,21.11739158630371,robot_devices,104.03514099121094
lerobot\tests\rewards\test_modeling_robometer.py,34.88666534423828,10.473160743713379,12.730386734008789,31.42418670654297,13.677482604980469,configs,34.88666534423828
lerobot\tests\rewards\test_classifier_processor.py,22.97172737121582,21.340044021606445,13.396806716918945,32.6998405456543,4.3364033699035645,robot_devices,32.6998405456543
lerobot\scripts\ci\extract_task_descriptions.py,12.632682800292969,17.51036834716797,8.720670700073242,52.208763122558594,14.172187805175781,robot_devices,52.208763122558594
lerobot\src\lerobot\annotations\steerable_pipeline\writer.py,9.066667556762695,12.43110179901123,4.320191860198975,19.992023468017578,12.00165843963623,robot_devices,19.992023468017578
lerobot\examples\isaac_teleop_to_so101\isaac_teleop\clutch.py,1.8814749717712402,1.8468800783157349,0.8271918892860413,7.420069694519043,2.6609928607940674,robot_devices,7.420069694519043
lerobot\src\lerobot\cameras\reachy2_camera\reachy2_camera.py,26.138141632080078,9.516603469848633,10.448894500732422,13.825459480285645,12.777445793151855,configs,26.138141632080078
lerobot\tests\processor\test_normalize_processor.py,20.804624557495117,31.988075256347656,24.733562469482422,81.8694076538086,12.178220748901367,robot_devices,81.8694076538086
lerobot\examples\port_datasets\slurm_aggregate_shards.py,9.387228965759277,92.16059112548828,4.430088520050049,3.0255229473114014,20.99689483642578,datasets,92.16059112548828
lerobot\src\lerobot\annotations\steerable_pipeline\modules\__init__.py,0.20826999843120575,0.20826999843120575,0.677686333656311,8.981289863586426,3.7681140899658203,robot_devices,8.981289863586426
lerobot\src\lerobot\annotations\__init__.py,0.20926597714424133,0.20926597714424133,0.0,9.024239540100098,0.20926597714424133,robot_devices,9.024239540100098
lerobot\tests\processor\test_observation_processor.py,19.048870086669922,12.297618865966797,15.577681541442871,3.2445688247680664,6.249940872192383,configs,19.048870086669922
lerobot\examples\port_datasets\port_droid.py,16.604427337646484,106.43022918701172,12.829384803771973,77.5298080444336,33.24048614501953,datasets,106.43022918701172
lerobot\tests\policies\molmoact2\test_molmoact2.py,37.57604217529297,34.956661224365234,81.5897445678711,37.60494613647461,30.08846092224121,policies,81.5897445678711
lerobot\tests\motors\test_feetech.py,3.0791664123535156,9.26034164428711,15.02810001373291,27.236675262451172,13.212966918945312,robot_devices,27.236675262451172
lerobot\src\lerobot\async_inference\configs.py,82.57735443115234,10.232170104980469,26.725488662719727,99.16877746582031,18.74822425842285,robot_devices,99.16877746582031
lerobot\tests\policies\groot\test_groot_lerobot.py,25.811603546142578,29.624425888061523,93.882568359375,55.514488220214844,11.790077209472656,policies,93.882568359375
lerobot\tests\processor\test_pipeline_from_pretrained_helpers.py,35.1705322265625,19.98680305480957,10.471588134765625,9.966525077819824,15.82936954498291,configs,35.1705322265625
lerobot\tests\utils\test_collate.py,0.24216733872890472,81.81379699707031,1.0,11.447919845581055,4.431945323944092,datasets,81.81379699707031
lerobot\tests\datasets\test_datasets.py,37.676368713378906,116.91527557373047,24.753528594970703,77.33171844482422,30.949434280395508,datasets,116.91527557373047
lerobot\tests\policies\rtc\test_action_interpolator.py,9.015893936157227,3.552957773208618,74.48570251464844,61.547367095947266,9.52131462097168,policies,74.48570251464844
lerobot\src\lerobot\cameras\realsense\configuration_realsense.py,11.694181442260742,6.8714189529418945,2.555884838104248,10.907453536987305,1.4341490268707275,configs,11.694181442260742
lerobot\tests\policies\wall_x\test_wallx.py,26.423200607299805,36.507659912109375,90.8934555053711,33.43013381958008,9.581488609313965,policies,90.8934555053711
lerobot\src\lerobot\cameras\utils.py,69.56038665771484,2.765270948410034,1.127563238143921,39.67619705200195,2.490952491760254,configs,69.56038665771484
lerobot\src\lerobot\datasets\lerobot_dataset.py,14.104366302490234,109.02428436279297,8.37228012084961,80.752685546875,33.901451110839844,datasets,109.02428436279297
lerobot\tests\rewards\test_modeling_topreward.py,26.023792266845703,12.979281425476074,14.397185325622559,35.35981369018555,18.682247161865234,robot_devices,35.35981369018555
lerobot\tests\fixtures\optimizers.py,18.47428321838379,0.8975114226341248,5.785347938537598,0.0,5.177942752838135,configs,18.47428321838379
lerobot\tests\robots\test_rebot_b601_follower.py,16.750198364257812,4.687581539154053,10.31096076965332,103.578857421875,11.183996200561523,robot_devices,103.578857421875
lerobot\examples\phone_to_so100\replay.py,17.860998153686523,33.05094528198242,1.843285083770752,62.76347351074219,6.520864009857178,robot_devices,62.76347351074219
lerobot\tests\utils\test_rerun_visualization.py,2.459303855895996,9.103903770446777,2.3012213706970215,18.552734375,12.361672401428223,robot_devices,18.552734375
