file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.h,2.3919737339019775,4.0,40.12335205078125,94.48544311523438,3.1300861835479736,2.261887550354004,3.3919737339019775,2.308130979537964,4.578985691070557,18.366525650024414,3.3919737339019775,5.591538429260254,42.54827117919922,16.191102981567383,LBSP,94.48544311523438
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobResult.cpp,1.32501220703125,0.0,0.0,22.50506591796875,87.58773040771484,1.7397693395614624,1.32501220703125,30.621152877807617,5.3000335693359375,7.815046310424805,1.32501220703125,9.907448768615723,5.4013285636901855,12.296886444091797,MultiLayer,87.58773040771484
bgslibrary\bgslibrary\algorithms\DPZivkovicAGMM.cpp,19.279396057128906,10.92972469329834,10.274738311767578,6.3660101890563965,7.028829574584961,24.80069923400879,7.028829574584961,7.337718486785889,5.228780269622803,15.677212715148926,7.028829574584961,7.514233112335205,50.756710052490234,14.910813331604004,lb,50.756710052490234
bgslibrary\bgslibrary\algorithms\KNN.h,19.51709747314453,22.81334114074707,6.654232978820801,4.613239288330078,3.1420774459838867,21.636489868164062,3.1420774459838867,2.175030469894409,5.191547393798828,2.1420774459838867,3.1420774459838867,5.619022846221924,4.5098981857299805,12.138910293579102,KDE,22.81334114074707
bgslibrary\bgslibrary\algorithms\SuBSENSE.h,19.51709747314453,4.353134632110596,33.963104248046875,97.85388946533203,3.1420774459838867,21.636489868164062,3.1420774459838867,2.175030469894409,4.3463287353515625,2.1420774459838867,3.1420774459838867,5.619022846221924,41.5098991394043,12.138910293579102,LBSP,97.85388946533203
bgslibrary\bgslibrary\algorithms\VuMeter\TBackground.h,3.341675281524658,7.325202941894531,0.0,5.961510181427002,4.803264617919922,4.032312870025635,5.172976016998291,3.6626014709472656,5.543892860412598,3.341675281524658,131.2531280517578,8.62745475769043,7.761282444000244,5.550454616546631,VuMeter,131.2531280517578
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.h,1.144622564315796,87.32049560546875,0.0,2.3073229789733887,1.144622564315796,0.0,1.144622564315796,0.0,4.120523452758789,1.144622564315796,1.144622564315796,3.4519455432891846,1.1627004146575928,3.4519455432891846,KDE,87.32049560546875
bgslibrary\bgslibrary\algorithms\SuBSENSE.cpp,19.47430992126465,10.989599227905273,49.7681884765625,117.47003936767578,7.055635929107666,15.393310546875,8.888556480407715,4.149562358856201,5.240488529205322,13.279952049255371,7.055635929107666,7.546339511871338,73.41532135009766,21.467479705810547,LBSP,117.47003936767578
bgslibrary\bgslibrary\algorithms\lb\Types.h,21.850292205810547,17.229957580566406,23.426654815673828,2.2974283695220947,1.1399662494659424,0.3684156835079193,1.508381962776184,1.564037561416626,3.7095978260040283,1.508381962776184,1.508381962776184,3.437394618988037,98.28838348388672,3.437394618988037,lb,98.28838348388672
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.h,18.554250717163086,0.3541572690010071,6.6627044677734375,2.614647388458252,1.1423161029815674,23.36107635498047,1.1423161029815674,0.17523743212223053,3.346909999847412,1.1423161029815674,1.1423161029815674,3.6199750900268555,1.5105804204940796,11.148544311523438,PBAS,23.36107635498047
