file_path,dns,general,http_general,httpserver,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\session\HTTPSessionAcceptor.h,1.0004615783691406,3.486283302307129,50.004852294921875,4.7059526443481445,4.0392420487478375E-4,2.5644888877868652,13.202215194702148,39.32101058959961,http_general,50.004852294921875
proxygen\proxygen\lib\http\codec\QPACKDecoderCodec.h,1.0004717111587524,4.8995256423950195,59.01859664916992,4.254570007324219,0.5190457701683044,3.8423500061035156,0.42521199584007263,2.9569544792175293,http_general,59.01859664916992
proxygen\proxygen\lib\http\codec\HTTPCodecPrinter.cpp,13.317920684814453,6.112853050231934,51.80906295776367,4.217625141143799,3.5608879989013076E-4,4.805960178375244,26.9992618560791,0.3828428387641907,http_general,51.80906295776367
proxygen\proxygen\httpserver\samples\proxy\SessionWrapper.h,1.0005543231964111,1.0004850625991821,40.50241470336914,96.40939331054688,4.850238037761301E-4,1.0,1.0,4.850238037761301E-4,httpserver,96.40939331054688
proxygen\proxygen\lib\transport\test\PersistentFizzPskCacheTest.cpp,16.550561904907227,3.371943950653076,3.2916014194488525,4.311949729919434,2.655261196196079E-4,0.7245608568191528,15.411983489990234,71.41023254394531,transport,71.41023254394531
proxygen\proxygen\lib\stats\ResourceStats.cpp,1.000499963760376,0.8426262736320496,0.28116703033447266,4.3741788249462843E-4,4.3741788249462843E-4,0.31112122535705566,0.0,4.3741788249462843E-4,dns,1.000499963760376
proxygen\proxygen\httpserver\samples\hq\SampleHandlers.cpp,23.35405731201172,12.704988479614258,56.230892181396484,70.4482650756836,8.007322311401367,6.928050518035889,31.611122131347656,18.54923439025879,httpserver,70.4482650756836
proxygen\proxygen\lib\transport\qmux\test\QmuxFramerTest.cpp,2.0217888355255127,1.8476916551589966,5.330972194671631,1.547959804534912,4.1839954792521894E-4,4.611061096191406,1.0213106870651245,93.31417846679688,transport,93.31417846679688
proxygen\proxygen\lib\http\SynchronizedLruQuicPskCache.h,1.000494122505188,1.2401536703109741,47.46942138671875,3.872671365737915,4.3238577200099826E-4,1.3522683382034302,13.685657501220703,9.273890495300293,http_general,47.46942138671875
proxygen\proxygen\lib\utils\Logging.h,1.0004640817642212,4.0610641008242965E-4,4.0610641008242965E-4,1.4121149778366089,4.0610641008242965E-4,0.03421160951256752,0.0,4.0610641008242965E-4,httpserver,1.4121149778366089
proxygen\proxygen\lib\transport\PersistentFizzPskCache.cpp,1.0005372762680054,0.2726809084415436,4.7014630399644375E-4,1.0004701614379883,4.7014630399644375E-4,0.07349754869937897,17.524173736572266,100.76460266113281,transport,100.76460266113281
proxygen\proxygen\lib\http\stats\TLResponseCodeStats.h,1.0004591941833496,1.4522432088851929,46.36895751953125,2.6997621059417725,4.017653700429946E-4,1.3174302577972412,0.15889668464660645,0.3181951344013214,http_general,46.36895751953125
proxygen\proxygen\lib\http\codec\HeadersRateLimitFilter.h,1.0004913806915283,2.9189298152923584,47.64882278442383,3.475161075592041,4.299128777347505E-4,2.7508294582366943,1.178024172782898,0.3564782440662384,http_general,47.64882278442383
proxygen\proxygen\lib\http\session\HTTPUpstreamSession.h,1.0004591941833496,3.24566912651062,49.66294479370117,3.6997621059417725,4.017653700429946E-4,2.7601263523101807,36.158897399902344,39.31819534301758,http_general,49.66294479370117
proxygen\proxygen\httpserver\HTTPServerAcceptor.cpp,17.74070930480957,4.504730701446533,52.678077697753906,103.48390197753906,0.36357662081718445,5.989499092102051,72.71041107177734,40.76694107055664,httpserver,103.48390197753906
proxygen\proxygen\lib\http\session\HTTPSessionActivityTracker.cpp,1.0004796981811523,2.087862730026245,49.33491134643555,2.4561192989349365,4.1971122846007347E-4,1.3037996292114258,1.1708873510360718,0.34219440817832947,http_general,49.33491134643555
proxygen\proxygen\lib\utils\Export.h,1.000449776649475,3.935077984351665E-4,3.935077984351665E-4,3.935077984351665E-4,3.935077984351665E-4,0.0,0.0,3.935077984351665E-4,dns,1.000449776649475
proxygen\proxygen\lib\http\coro\util\DetachableExecutor.h,1.0004810094833374,2.0055460929870605,47.508853912353516,3.458279848098755,4.208862083032727E-4,2.6443369388580322,0.17169712483882904,1.5531184673309326,http_general,47.508853912353516
proxygen\proxygen\lib\services\RequestWorkerThread.h,20.733552932739258,7.22921085357666,4.150761233177036E-4,1.4378819465637207,4.150761233177036E-4,266.4969482421875,0.0,4.150761233177036E-4,services,266.4969482421875
proxygen\proxygen\lib\http\session\HQByteEventTracker.h,1.000501036643982,1.2459462881088257,49.85403823852539,3.4914541244506836,4.3837446719408035E-4,1.3273437023162842,0.18413090705871582,5.582240581512451,http_general,49.85403823852539
proxygen\proxygen\lib\http\session\HQStreamBase.cpp,1.0004591941833496,68.46538543701172,114.65034484863281,3.6997621059417725,4.017653700429946E-4,3.2783210277557373,12.095190048217773,0.3181951344013214,http_general,114.65034484863281
proxygen\proxygen\lib\http\observer\HTTPSessionObserverInterface.cpp,1.0005124807357788,2.2586193084716797,46.57472610473633,4.309922218322754,4.484111559577286E-4,1.6605644226074219,1.156157374382019,0.3127632141113281,http_general,46.57472610473633
proxygen\proxygen\lib\transport\PersistentFizzPskCache.h,1.000503420829773,1.9332764148712158,0.5378226637840271,1.3972207307815552,0.48451587557792664,1.7957558631896973,15.950735092163086,93.13274383544922,transport,93.13274383544922
proxygen\proxygen\lib\utils\perfect_hash_table_template.h,1.0004692077636719,6.498152732849121,2.009552240371704,1.3969974517822266,1.000410556793213,2.3195319175720215,0.0,4.105422704014927E-4,general,6.498152732849121
