file_path,dsp,feature,general,mir,best_module,best_likelihood
audioflux\src\flux_spectral.h,3.728458881378174,27.31287384033203,5.060888767242432,11.206795692443848,feature,27.31287384033203
audioflux\src\dsp\filterDesign_iir.c,81.67778015136719,0.0,0.0,26.57231903076172,dsp,81.67778015136719
audioflux\src\wpt_algorithm.c,11.961827278137207,4.25955867767334,4.588474273681641,17.536535263061523,mir,17.536535263061523
audioflux\src\dsp\phase_vocoder.h,84.50484466552734,3.680082321166992,0.0,3.1870789527893066,dsp,84.50484466552734
audioflux\src\mir\_pitch_pef.h,0.0,3.066216468811035,0.0,81.10235595703125,mir,81.10235595703125
audioflux\src\dsp\hilbert_algorithm.h,82.14297485351562,1.0,1.8835623264312744,0.4157940745353699,dsp,82.14297485351562
audioflux\include\util\flux_util.h,17.460203170776367,8.774453163146973,3.7422666549682617,42.94658279418945,mir,42.94658279418945
audioflux\src\mir\_pitch_ncf.c,0.0,4.500009536743164,0.5122334957122803,66.10352325439453,mir,66.10352325439453
audioflux\include\wvd_algorithm.h,1.4677683115005493,1.0,1.8835623264312744,0.4157940745353699,general,1.8835623264312744
audioflux\src\mir\timeStretch_algorithm.c,4.014076232910156,5.21699857711792,2.195204973220825,69.78980255126953,mir,69.78980255126953
audioflux\src\dwt_algorithm.c,20.507396697998047,3.6681270599365234,3.5684261322021484,0.25772371888160706,dsp,20.507396697998047
audioflux\include\dsp\resample_algorithm.h,79.3497085571289,1.9702095985412598,1.8300758600234985,28.030006408691406,dsp,79.3497085571289
audioflux\src\feature\xxcc_algorithm.c,17.23002052307129,103.03780364990234,2.0800833702087402,2.2639713287353516,feature,103.03780364990234
audioflux\src\vector\flux_vector.c,0.39740538597106934,5.141080856323242,2.52443265914917,96.59786987304688,mir,96.59786987304688
audioflux\src\wpt_algorithm.h,1.4655463695526123,1.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
audioflux\include\feature\spectral_algorithm.h,4.051939964294434,124.96866607666016,4.664070129394531,44.892181396484375,feature,124.96866607666016
audioflux\src\mir\_pitch_hps.h,14.904932022094727,2.5791592597961426,0.0,85.24705505371094,mir,85.24705505371094
audioflux\include\mir\_pitch_cep.h,14.92236328125,2.080145835876465,0.0,81.62765502929688,mir,81.62765502929688
audioflux\include\fst_algorithm.h,18.86499786376953,1.0,1.8825092315673828,0.4152985215187073,dsp,18.86499786376953
audioflux\src\mir\_pitch_ffp.h,14.113558769226074,2.045593023300171,0.0,79.38296508789062,mir,79.38296508789062
audioflux\src\mir\_trist3.c,54.82263946533203,0.0,1.503008246421814,70.53065490722656,mir,70.53065490722656
