file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.h,1.1445053815841675,87.27970123291016,0.0,2.3070738315582275,1.1445053815841675,0.0,1.1445053815841675,0.0,4.058211803436279,1.1445053815841675,1.1445053815841675,1.1445053815841675,3.4515790939331055,3.4515790939331055,KDE,87.27970123291016
bgslibrary\bgslibrary\algorithms\SuBSENSE.cpp,19.30500602722168,10.931364059448242,49.50400924682617,117.15633392333984,7.029565334320068,15.192440032958984,8.847084045410156,4.130631446838379,5.175836086273193,13.083645820617676,7.029565334320068,5.256137847900391,7.522839069366455,21.25618553161621,LBSP,117.15633392333984
bgslibrary\bgslibrary\algorithms\lb\Types.h,21.85132598876953,17.231294631958008,23.42922592163086,2.2974610328674316,1.1399816274642944,0.3684442937374115,1.5084259510040283,1.5643301010131836,3.6501996517181396,1.5084259510040283,1.5084259510040283,1.1399816274642944,3.4374425411224365,3.4374425411224365,LBP_MRF,23.42922592163086
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.h,18.51881980895996,0.35318222641944885,6.654626846313477,2.613304615020752,1.1420886516571045,23.305017471313477,1.1420886516571045,0.1750401258468628,3.2859883308410645,1.1420886516571045,1.1420886516571045,2.3171286582946777,3.6190669536590576,11.139357566833496,PBAS,23.305017471313477
bgslibrary\bgslibrary\algorithms\T2F\MRF.h,3.6280102729797363,9.95939826965332,73.33136749267578,8.86694622039795,6.117859840393066,4.97969913482666,6.117859840393066,119.81427001953125,7.121191024780273,15.371803283691406,6.117859840393066,84.03404998779297,10.164359092712402,7.674509048461914,T2F,119.81427001953125
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.h,3.119293212890625,7.929871082305908,16.311542510986328,6.25568962097168,5.1017608642578125,13.186141967773438,5.1017608642578125,3.964935541152954,5.257882118225098,16.89156150817871,5.1017608642578125,89.15342712402344,7.562937259674072,16.308259963989258,dp,89.15342712402344
bgslibrary\bgslibrary\algorithms\lb\BGModel.cpp,1.1342313289642334,0.4644048511981964,22.931190490722656,2.2852416038513184,1.1342313289642334,0.0,1.1342313289642334,0.0,3.270202159881592,1.1342313289642334,1.1342313289642334,1.1342313289642334,3.5490832328796387,3.6778788566589355,LBP_MRF,22.931190490722656
bgslibrary\wrapper\java\src\bgslibrary_BgsLib.h,0.0,0.0,5.196361064910889,0.0,0.0,0.0,0.0,0.14434336125850677,1.0019029378890991,0.0,0.0,1.922622561454773,0.0,0.0,LBP_MRF,5.196361064910889
bgslibrary\bgslibrary\algorithms\FuzzyChoquetIntegral.h,20.347978591918945,7.581419944763184,6.797291278839111,6.222133159637451,4.757796287536621,24.57710075378418,4.757796287536621,5.796289443969727,5.09176778793335,2.9492368698120117,4.757796287536621,4.936966419219971,7.235904693603516,14.078374862670898,PBAS,24.57710075378418
bgslibrary\bgslibrary\algorithms\StaticFrameDifference.h,18.611860275268555,0.35574454069137573,6.675804138183594,2.6168313026428223,1.1426851749420166,21.45233154296875,1.1426851749420166,0.1755572259426117,3.287186861038208,1.1426851749420166,1.1426851749420166,1.3182424306869507,3.621448516845703,11.163447380065918,PBAS,21.45233154296875
