file_path,backtest,contrib,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\data\processor.py,2.477681875228882,56.681610107421875,3.142029285430908,4.457415580749512,22.234302520751953,6.4583024978637695,11.911191940307617,10.783697128295898,19.615047454833984,contrib,56.681610107421875
qlib\qlib\rl\strategy\__init__.py,2.6049113273620605,5.010282516479492,0.0,89.49335479736328,0.0,96.38172149658203,0.0,5.010282516479492,5.260105609893799,strategy,96.38172149658203
qlib\qlib\rl\data\pickle_styled.py,103.31329345703125,13.391865730285645,8.70236873626709,71.52220153808594,29.966466903686523,4.828075408935547,13.458649635314941,23.163402557373047,43.900943756103516,backtest,103.31329345703125
qlib\qlib\model\riskmodel\base.py,2.653651714324951,18.34120750427246,65.06187438964844,5.019756317138672,26.086915969848633,8.418625831604004,10.550019264221191,17.268142700195312,44.50958251953125,model,65.06187438964844
qlib\qlib\contrib\torch.py,0.0,56.81856155395508,1.3683840036392212,0.0,4.494837284088135,0.0,5.419328689575195,6.296151161193848,8.728026390075684,contrib,56.81856155395508
qlib\qlib\backtest\account.py,84.1953125,15.715034484863281,30.084720611572266,16.356367111206055,29.152048110961914,25.14244270324707,15.360760688781738,14.962770462036133,48.56912612915039,backtest,84.1953125
qlib\qlib\rl\order_execution\interpreter.py,3.230112314224243,9.620929718017578,7.000685214996338,75.09989929199219,47.29120635986328,5.046159267425537,9.245158195495605,19.261199951171875,33.192012786865234,rl,75.09989929199219
qlib\qlib\contrib\model\pytorch_gats.py,5.955926418304443,68.3259506225586,103.14617919921875,40.00587463378906,52.816368103027344,25.203128814697266,90.30403137207031,73.59104919433594,65.62895965576172,model,103.14617919921875
qlib\qlib\backtest\utils.py,77.15509796142578,13.677908897399902,3.535085916519165,5.572929382324219,55.89794921875,7.711621284484863,13.89861011505127,76.89934539794922,22.578245162963867,backtest,77.15509796142578
qlib\qlib\contrib\model\pytorch_adarnn.py,9.748086929321289,68.6238021850586,97.06478881835938,51.95807647705078,65.92382049560547,24.03789710998535,81.38604736328125,78.04447937011719,64.59957885742188,model,97.06478881835938
qlib\qlib\rl\simulator.py,4.602781295776367,3.796318769454956,0.0,87.69795227050781,0.0,0.2035588026046753,0.0,4.059909343719482,3.3039636611938477,rl,87.69795227050781
qlib\qlib\contrib\tuner\pipeline.py,109.451904296875,64.90059661865234,23.521419525146484,6.142455577850342,64.48457336425781,10.684478759765625,41.430850982666016,23.50383758544922,48.051612854003906,backtest,109.451904296875
qlib\qlib\contrib\model\catboost_model.py,3.115591287612915,64.96625518798828,78.09663391113281,9.467947006225586,13.673537254333496,11.998692512512207,86.3796615600586,14.509026527404785,49.22563934326172,tests,86.3796615600586
qlib\qlib\contrib\eva\alpha.py,0.25745469331741333,60.03419494628906,11.842596054077148,4.669781684875488,20.103961944580078,7.734642028808594,8.296673774719238,14.938675880432129,17.644784927368164,contrib,60.03419494628906
qlib\qlib\contrib\model\pytorch_add.py,4.847519874572754,65.76667785644531,107.06758880615234,37.71380615234375,66.33782196044922,24.771799087524414,77.05953216552734,67.76199340820312,72.45703887939453,model,107.06758880615234
qlib\qlib\contrib\model\pytorch_tabnet.py,12.649341583251953,64.13775634765625,97.04573059082031,39.60309982299805,42.764408111572266,25.63270378112793,84.58831024169922,72.69674682617188,55.729679107666016,model,97.04573059082031
qlib\qlib\contrib\model\__init__.py,2.085648536682129,60.04320526123047,85.12554931640625,1.769075870513916,16.030467987060547,7.420422077178955,2.3001549243927,6.5112786293029785,16.06255340576172,model,85.12554931640625
qlib\qlib\utils\index_data.py,4.354100227355957,14.150134086608887,5.13441801071167,5.213676929473877,49.59183120727539,6.686028480529785,21.328989028930664,74.14814758300781,28.560733795166016,utils,74.14814758300781
qlib\qlib\data\ops.py,9.73611068725586,26.047510147094727,20.078542709350586,180.44705200195312,57.27374267578125,23.65767478942871,36.008399963378906,18.943422317504883,45.50933074951172,rl,180.44705200195312
qlib\qlib\data\storage\__init__.py,0.4663867950439453,2.8238255977630615,0.0,0.0,4.160780906677246,0.0,5.160780906677246,4.210752487182617,10.415253639221191,workflow,10.415253639221191
qlib\qlib\utils\serial.py,5.337789058685303,10.454839706420898,5.325010776519775,28.148418426513672,2.5057241916656494,9.811901092529297,5.599910259246826,72.85144805908203,12.343646049499512,utils,72.85144805908203
qlib\qlib\rl\utils\env_wrapper.py,1.89320969581604,12.511185646057129,16.119903564453125,85.9976806640625,59.44679260253906,9.319869995117188,6.830270767211914,85.32151794433594,18.67402458190918,rl,85.9976806640625
qlib\qlib\model\riskmodel\shrink.py,2.407864570617676,6.84135103225708,53.439579010009766,5.479406356811523,17.723587036132812,6.799017906188965,9.640390396118164,9.361900329589844,18.030187606811523,model,53.439579010009766
qlib\qlib\rl\trainer\trainer.py,7.520981788635254,13.247184753417969,15.720441818237305,79.99109649658203,76.88465118408203,17.659467697143555,50.66252517700195,18.58194923400879,43.521583557128906,rl,79.99109649658203
qlib\qlib\contrib\report\__init__.py,14.835598945617676,60.72219467163086,64.07256317138672,4.157607078552246,7.715994834899902,3.8814239501953125,1.363356590270996,4.104698657989502,23.020328521728516,model,64.07256317138672
qlib\qlib\data\pit.py,0.9059677720069885,12.011421203613281,16.128660202026367,7.925398349761963,29.755542755126953,12.10533618927002,14.7215576171875,12.5632905960083,18.926410675048828,run,29.755542755126953
qlib\qlib\contrib\model\pytorch_gats_ts.py,5.726037979125977,68.22380828857422,101.6456527709961,69.3727798461914,54.208980560302734,24.796728134155273,82.94721221923828,73.55211639404297,71.2438735961914,model,101.6456527709961
qlib\qlib\rl\data\base.py,0.0,7.535872936248779,4.054570198059082,86.58802795410156,13.024039268493652,1.4392708539962769,5.898874282836914,12.311617851257324,15.520914077758789,rl,86.58802795410156
qlib\qlib\rl\trainer\callbacks.py,6.470485210418701,18.858882904052734,84.05299377441406,79.26421356201172,20.439088821411133,14.174603462219238,82.69123840332031,17.857255935668945,64.74241638183594,model,84.05299377441406
qlib\qlib\rl\aux_info.py,7.772327423095703,3.511399745941162,0.0,87.69795227050781,7.3281168937683105,2.757160186767578,0.0,3.7595415115356445,7.699906349182129,rl,87.69795227050781
qlib\qlib\contrib\model\pytorch_gru_ts.py,5.749975204467773,70.46678924560547,92.54930877685547,98.80113220214844,50.744110107421875,22.838193893432617,81.19052124023438,76.19339752197266,61.21991729736328,rl,98.80113220214844
qlib\qlib\data\dataset\processor.py,6.840548038482666,12.692060470581055,17.615345001220703,10.425562858581543,34.32478713989258,12.845499038696289,25.62370491027832,22.654233932495117,42.02449035644531,workflow,42.02449035644531
qlib\qlib\rl\data\__init__.py,0.0,5.186769008636475,0.0,89.55758666992188,4.169467926025391,0.0,4.169467926025391,6.576591968536377,6.9994587898254395,rl,89.55758666992188
qlib\qlib\contrib\model\pytorch_gru.py,5.918502330780029,69.07730865478516,92.10542297363281,40.714542388916016,51.81895446777344,22.887447357177734,89.3828353881836,72.98480224609375,58.3818473815918,model,92.10542297363281
qlib\qlib\data\dataset\storage.py,1.0208079814910889,10.002347946166992,19.72529411315918,2.032627582550049,17.089670181274414,15.603527069091797,8.83298110961914,11.36211109161377,28.3115291595459,workflow,28.3115291595459
qlib\qlib\contrib\data\utils\sepdf.py,2.805652141571045,58.33073043823242,4.843925952911377,6.90425443649292,18.86046600341797,10.739666938781738,12.140358924865723,74.47957611083984,14.449413299560547,utils,74.47957611083984
qlib\qlib\rl\contrib\utils.py,2.846208333969116,61.84660339355469,2.7860770225524902,90.4499740600586,8.890420913696289,1.843599796295166,8.332128524780273,84.51347351074219,10.5662260055542,rl,90.4499740600586
qlib\qlib\backtest\backtest.py,110.92007446289062,10.458013534545898,8.879583358764648,6.397531986236572,12.31489372253418,130.28814697265625,9.568711280822754,14.054752349853516,34.40761184692383,strategy,130.28814697265625
qlib\qlib\rl\trainer\__init__.py,96.8683853149414,6.984259128570557,0.0,91.89276885986328,0.0,1.844562292098999,0.0,4.984259128570557,10.23192310333252,backtest,96.8683853149414
qlib\qlib\data\_libs\__init__.py,0.6414279341697693,3.471418619155884,0.6414279341697693,0.6414279341697693,4.169467926025391,0.6414279341697693,4.810895919799805,4.861241340637207,8.28231430053711,workflow,8.28231430053711
qlib\qlib\utils\mod.py,2.9354088306427,15.911956787109375,34.816829681396484,52.8275260925293,12.453547477722168,12.374500274658203,9.942665100097656,100.64881134033203,14.47675895690918,utils,100.64881134033203
qlib\qlib\backtest\signal.py,103.43885803222656,11.852740287780762,75.2818603515625,4.748579502105713,4.939643859863281,9.496251106262207,27.944347381591797,13.666285514831543,33.47499465942383,backtest,103.43885803222656
qlib\qlib\rl\contrib\__init__.py,0.0,57.30183792114258,0.0,89.55758666992188,0.0,0.0,0.0,3.9755442142486572,0.050345562398433685,rl,89.55758666992188
qlib\qlib\data\storage\file_storage.py,11.909626007080078,27.56109619140625,33.378204345703125,32.49449920654297,38.18170928955078,17.642391204833984,29.75613021850586,33.2398567199707,34.8668327331543,run,38.18170928955078
qlib\qlib\model\riskmodel\structured.py,2.4298160076141357,20.11124038696289,69.57035064697266,3.162264108657837,19.929500579833984,4.847414493560791,5.0920867919921875,10.056245803833008,24.249134063720703,model,69.57035064697266
