file_path,backtest,contrib,data,model,rl,run,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\model\riskmodel\shrink.py,7.339886665344238,8.141227722167969,25.857961654663086,67.51191711425781,4.500322341918945,19.398073196411133,9.666921615600586,12.001242637634277,11.134636878967285,model,67.51191711425781
qlib\qlib\rl\trainer\trainer.py,13.490011215209961,17.036897659301758,24.474428176879883,26.68535041809082,75.17439270019531,79.20427703857422,46.073272705078125,22.260787963867188,35.06829833984375,run,79.20427703857422
qlib\qlib\contrib\report\__init__.py,21.040298461914062,67.61569213867188,0.7655506134033203,77.08851623535156,5.499880790710449,0.5459599494934082,2.503692150115967,5.29860258102417,12.776291847229004,model,77.08851623535156
qlib\tests\rl\test_saoe_simple.py,110.38909912109375,17.02908706665039,82.0050048828125,12.7370023727417,76.53227996826172,32.06535720825195,98.33890533447266,29.61270523071289,39.53406524658203,backtest,110.38909912109375
qlib\qlib\data\pit.py,3.166996955871582,13.242652893066406,65.22455596923828,26.001537322998047,8.546027183532715,30.210912704467773,17.888883590698242,16.525741577148438,10.886298179626465,data,65.22455596923828
qlib\qlib\contrib\model\pytorch_gats_ts.py,11.82253646850586,68.0088119506836,105.44573974609375,131.10861206054688,64.31449890136719,55.32585906982422,75.8875503540039,81.39781188964844,41.65717697143555,model,131.10861206054688
qlib\tests\test_contrib_model.py,5.371042251586914,71.49332427978516,0.5050013065338135,113.24961853027344,2.5073859691619873,79.82508850097656,110.08324432373047,14.665432929992676,12.481599807739258,model,113.24961853027344
qlib\examples\highfreq\highfreq_ops.py,1.6011230945587158,9.174230575561523,15.707036972045898,5.689619541168213,46.887664794921875,10.226304054260254,12.635729789733887,7.533693313598633,6.909031867980957,rl,46.887664794921875
qlib\examples\benchmarks\LightGBM\multi_freq_handler.py,6.548703670501709,16.13882827758789,74.44913482666016,15.334002494812012,4.9979352951049805,10.0494384765625,15.276713371276855,15.424099922180176,16.407825469970703,data,74.44913482666016
qlib\qlib\rl\data\base.py,1.4921401739120483,7.189505577087402,72.2445297241211,7.867748260498047,82.06293487548828,14.166099548339844,7.041229248046875,13.48040771484375,8.213231086730957,rl,82.06293487548828
qlib\qlib\rl\trainer\callbacks.py,11.477688789367676,20.100360870361328,62.763389587402344,108.77102661132812,74.85021209716797,20.984643936157227,75.05126190185547,23.03144645690918,45.53518295288086,model,108.77102661132812
qlib\qlib\rl\aux_info.py,9.7210693359375,4.423840045928955,1.0,2.0012736320495605,82.67732238769531,8.528688430786133,1.00127375125885,4.663630962371826,7.803747177124023,rl,82.67732238769531
qlib\qlib\data\dataset\processor.py,9.401899337768555,12.421137809753418,76.74750518798828,32.786746978759766,7.556647777557373,33.376121520996094,23.125093460083008,26.40792465209961,25.187984466552734,data,76.74750518798828
