file_path,dns,general,http_general,httpserver,pools,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\codec\compress\test\HPACKBenchmark.cpp,1.0005027055740356,3.6129517555236816,58.583351135253906,5.090136528015137,1.0,3.418487071990967,1.383690357208252,1.585669994354248,http_general,58.583351135253906
proxygen\proxygen\lib\http\coro\HTTPStreamSourceHolder.h,1.000504732131958,2.9821839332580566,48.637786865234375,3.497959852218628,1.0,2.001640558242798,1.1865692138671875,0.3735802471637726,http_general,48.637786865234375
proxygen\proxygen\lib\pools\generators\ServerListGenerator.cpp,2.2628448009490967,4.2788495193235576E-4,4.2788495193235576E-4,5.777610778808594,139.87925720214844,1.1285831928253174,0.0,4.2788495193235576E-4,pools,139.87925720214844
proxygen\proxygen\lib\http\session\test\HTTPSessionTest.h,1.0005632638931274,1.7248846292495728,50.42149353027344,2.4228549003601074,1.0,1.3166847229003906,1.1583857536315918,39.317264556884766,http_general,50.42149353027344
proxygen\proxygen\lib\http\coro\filters\RateLimitFilter.cpp,17.371782302856445,2.64239239692688,47.72953796386719,3.4656662940979004,1.0,2.114924430847168,1.174465537071228,0.34935590624809265,http_general,47.72953796386719
proxygen\proxygen\lib\http\coro\filters\StatsFilterUtil.cpp,1.0005466938018799,5.063825607299805,52.958194732666016,39.48804473876953,1.0,3.853459119796753,1.180314540863037,0.3611074388027191,http_general,52.958194732666016
proxygen\proxygen\external\http_parser\http_parser.h,4.841330528259277,8.616663932800293,55.24533462524414,5.551663398742676,2.8996565341949463,11.945972442626953,25.362852096557617,4.292484283447266,http_general,55.24533462524414
proxygen\proxygen\lib\http\codec\compress\experimental\simulator\CompressionUtils.h,1.0005031824111938,2.9576809406280518,48.0557861328125,3.8170363903045654,1.3218414783477783,2.7878856658935547,14.122737884521484,0.3715061545372009,http_general,48.0557861328125
proxygen\proxygen\lib\http\codec\HTTP2Framer.cpp,16.02114486694336,7.660106182098389,56.632225036621094,3.9392318725585938,3.3027236461639404,3.6830813884735107,11.41036319732666,2.3706352710723877,http_general,56.632225036621094
proxygen\proxygen\lib\http\structuredheaders\test\StructuredHeadersBufferTest.cpp,26.359004974365234,1.1179131269454956,42.64717483520508,3.651343822479248,3.8627405166625977,1.2262170314788818,18.264001846313477,0.17673473060131073,http_general,42.64717483520508
proxygen\proxygen\lib\utils\SafePathUtils.h,1.0004878044128418,4.268619231879711E-4,4.268619231879711E-4,1.4202958345413208,1.4198689460754395,1.3899730443954468,0.0,4.268619231879711E-4,httpserver,1.4202958345413208
proxygen\proxygen\lib\utils\SafePathUtils.cpp,31.379735946655273,1.288794994354248,0.3485789895057678,1.7626442909240723,1.4141274690628052,2.8903915882110596,0.0,0.8879947662353516,dns,31.379735946655273
proxygen\proxygen\httpserver\RequestHandlerAdaptor.cpp,1.0004348754882812,5.5487823486328125,53.54804611206055,85.34967041015625,1.7421705722808838,3.539261817932129,17.85007667541504,39.367156982421875,httpserver,85.34967041015625
proxygen\proxygen\lib\http\coro\client\HTTPClient.h,1.000380516052246,4.12504243850708,47.98873519897461,4.729444980621338,3.4357643127441406,4.4393792152404785,1.118656039237976,3.237645149230957,http_general,47.98873519897461
proxygen\proxygen\lib\http\coro\HTTPError.h,1.0004931688308716,142.56910705566406,203.17291259765625,4.585341453552246,1.3728337287902832,5.302635192871094,19.88134765625,105.61451721191406,http_general,203.17291259765625
proxygen\proxygen\lib\stats\test\PeriodicStatsTest.cpp,1.0004582405090332,0.328426331281662,4.009771510027349E-4,1.0004010200500488,1.0,0.03424184024333954,0.0,4.009771510027349E-4,dns,1.0004582405090332
proxygen\proxygen\httpserver\filters\CompressionFilter.h,1.000442385673523,3.4788365364074707,48.390567779541016,87.35433197021484,1.2594679594039917,2.2674849033355713,33.70241165161133,0.37352561950683594,httpserver,87.35433197021484
