file_path,dns,http_general,httpserver,pools,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\codec\webtransport\test\WebTransportFramerTest.cpp,1.000174880027771,51.99231719970703,3.3512203693389893,2.021711587905884,1.530656882096082E-4,2.8013875484466553,0.04333922266960144,6.458981513977051,http_general,51.99231719970703
proxygen\proxygen\lib\http\coro\HTTPSourceFilter.cpp,1.0004796981811523,47.839385986328125,3.4561192989349365,1.0,4.1971122846007347E-4,2.085343599319458,1.1708873510360718,0.34219440817832947,http_general,47.839385986328125
proxygen\proxygen\lib\http\sink\HTTPTransactionSink.h,2.000422954559326,46.55231475830078,3.3719491958618164,3.804957389831543,1.0003701448440552,4.650396347045898,16.921642303466797,47.046852111816406,transport,47.046852111816406
proxygen\proxygen\lib\http\codec\compress\QPACKDecoder.h,17.417373657226562,46.69486999511719,3.694413661956787,1.0,3.629663842730224E-4,3.083498477935791,0.1351831704378128,2.16405987739563,http_general,46.69486999511719
proxygen\proxygen\lib\http\Window.h,1.000494122505188,47.46942138671875,3.479874849319458,1.0,4.3238577200099826E-4,1.3196282386779785,0.1797909289598465,0.3600142300128937,http_general,47.46942138671875
proxygen\proxygen\lib\http\coro\test\TestUtils.h,1.0004926919937134,48.17353439331055,3.477506399154663,1.0,4.3114577420055866E-4,1.668685793876648,0.17890319228172302,0.35823753476142883,http_general,48.17353439331055
proxygen\proxygen\lib\http\codec\HTTPSettings.cpp,22.45360565185547,46.925262451171875,3.8073272705078125,1.367785930633545,4.105422704014927E-4,2.8488869667053223,1.1646740436553955,0.32975858449935913,http_general,46.925262451171875
proxygen\proxygen\httpclient\samples\H3Datagram\H3DatagramClient.cpp,5.349347114562988,57.06498336791992,11.073925018310547,10.48083209991455,3.69981050491333,5.396774768829346,19.2805233001709,8.122220039367676,http_general,57.06498336791992
proxygen\proxygen\lib\healthcheck\ServerHealthCheckerCallback.cpp,2.415076494216919,0.30325838923454285,5.509133815765381,4.094115734100342,4.105422704014927E-4,0.7260950803756714,1.1437982320785522,4.105422704014927E-4,httpserver,5.509133815765381
proxygen\proxygen\lib\http\session\test\HTTP2PriorityQueueTest.cpp,23.469289779663086,45.955169677734375,3.9541473388671875,1.89035964012146,3.4847401548177004E-4,2.3288936614990234,0.13111452758312225,0.26257753372192383,http_general,45.955169677734375
proxygen\proxygen\lib\http\session\HTTP2PriorityQueue.h,1.0003533363342285,54.56574630737305,4.129142761230469,2.09574818611145,3.0921597499400377E-4,2.2995331287384033,8.320183753967285,0.6313690543174744,http_general,54.56574630737305
proxygen\proxygen\httpserver\samples\hq\HQServerModule.h,1.0004427433013916,38.000389099121094,98.1172103881836,1.0,3.87423497159034E-4,1.0269180536270142,1.0,5.000909328460693,httpserver,98.1172103881836
proxygen\proxygen\lib\stats\ResourceStats.h,1.000502109527588,4.3933524284511805E-4,4.3933524284511805E-4,1.0,4.3933524284511805E-4,0.030524833127856255,0.0,4.3933524284511805E-4,dns,1.000502109527588
proxygen\proxygen\lib\http\codec\HTTPParallelCodec.cpp,1.0004692077636719,49.16765213012695,4.287125110626221,2.856754779815674,0.42964643239974976,2.6993112564086914,0.16467401385307312,92.45706176757812,transport,92.45706176757812
proxygen\proxygen\lib\http\codec\HQUnidirectionalCodec.cpp,1.000490665435791,47.625179290771484,3.473997116088867,1.0,4.29299077950418E-4,2.755903720855713,0.17758789658546448,0.3556050956249237,http_general,47.625179290771484
proxygen\proxygen\lib\http\codec\compress\test\HeaderTableTests.cpp,1.0003035068511963,43.505245208740234,3.523130416870117,1.9455311298370361,2.655261196196079E-4,2.742262125015259,1.1446216106414795,0.6478337645530701,http_general,43.505245208740234
proxygen\proxygen\lib\utils\ZlibStreamCompressor.h,20.30741310119629,0.26957449316978455,1.0004268884658813,1.0,4.2686128290370107E-4,0.2944978177547455,0.0,4.2686128290370107E-4,dns,20.30741310119629
proxygen\proxygen\lib\http\observer\HTTPSessionObserverContainer.h,1.0005028247833252,47.7599983215332,3.5543594360351562,2.0597646236419678,4.3997811735607684E-4,1.3294365406036377,1.1853079795837402,0.37105605006217957,http_general,47.7599983215332
proxygen\proxygen\lib\dns\test\MockDNSResolver.h,87.74957275390625,4.6722410479560494E-4,1.3583950996398926,1.357927918434143,4.6722410479560494E-4,0.03306733816862106,0.0,4.6722410479560494E-4,dns,87.74957275390625
proxygen\proxygen\httpserver\samples\hq\devious\DeviousBaton.cpp,22.68902587890625,43.3444709777832,79.80470275878906,6.203314781188965,3.272209405899048,5.865559101104736,16.514347076416016,7.923508644104004,httpserver,79.80470275878906
proxygen\proxygen\httpserver\samples\hq\HQCommandLine.h,6.88989782333374,41.7493896484375,92.66513061523438,8.31263256072998,5.466811656951904,5.385848522186279,3.650914192199707,10.13577938079834,httpserver,92.66513061523438
proxygen\proxygen\lib\http\session\test\HTTPUpstreamSessionTest.cpp,24.62085723876953,63.34135437011719,10.382015228271484,18.767780303955078,2.204033374786377,7.312160491943359,51.56227493286133,97.25634765625,transport,97.25634765625
proxygen\proxygen\httpserver\samples\push\PushRequestHandler.cpp,1.0004914999008179,48.40888977050781,102.07738494873047,3.125375509262085,0.5407490134239197,2.091360092163086,1.1916053295135498,0.3836407959461212,httpserver,102.07738494873047
proxygen\proxygen\lib\utils\Exception.h,1.0004878044128418,0.5331038236618042,2.3524539470672607,1.3783432245254517,4.2686128290370107E-4,3.239903211593628,16.89112091064453,4.2686128290370107E-4,ssl,16.89112091064453
proxygen\proxygen\lib\http\coro\client\HTTPCoroSessionPool.cpp,7.244168758392334,47.082969665527344,9.324664115905762,106.1534423828125,1.5185517072677612,10.743697166442871,64.15042114257812,5.654368877410889,pools,106.1534423828125
proxygen\proxygen\httpserver\samples\echo\EchoHandler.h,1.000552773475647,38.000484466552734,95.67240905761719,2.4781641960144043,4.8372335731983185E-4,1.3051995038986206,1.0,4.8372335731983185E-4,httpserver,95.67240905761719
proxygen\proxygen\lib\http\codec\webtransport\WebTransportFramer.cpp,1.0004701614379883,54.60774230957031,3.985243320465088,1.6922613382339478,4.1142801637761295E-4,2.7650411128997803,0.06611491739749908,6.138249397277832,http_general,54.60774230957031
proxygen\proxygen\lib\test\TestAsyncTransport.h,2.1099512577056885,0.48430949449539185,1.542596697807312,1.0,4.5319594210013747E-4,2.793614387512207,1.1094334125518799,4.5319594210013747E-4,services,2.793614387512207
proxygen\proxygen\lib\transport\test\H3DatagramAsyncSocketTest.h,1.0005402565002441,40.620887756347656,3.0004727840423584,1.0,4.727394552901387E-4,1.3622671365737915,14.242729187011719,98.95231628417969,transport,98.95231628417969
proxygen\proxygen\lib\http\session\HTTPSession.cpp,29.150789260864258,61.141387939453125,6.404013156890869,6.2738261222839355,2.1266820430755615,7.903139114379883,80.06295776367188,57.80390167236328,ssl,80.06295776367188
proxygen\proxygen\lib\http\test\HTTPPriorityFunctionsTest.cpp,1.000321626663208,50.41312026977539,4.122725963592529,1.2353136539459229,2.814317704178393E-4,1.5044968128204346,16.599624633789062,0.47165510058403015,http_general,50.41312026977539
proxygen\proxygen\lib\transport\qmux\QmuxFramer.cpp,2.3275845050811768,5.76946496963501,1.2648893594741821,1.0,3.3145182533189654E-4,5.580661773681641,1.3272056579589844,116.97572326660156,transport,116.97572326660156
proxygen\proxygen\lib\dns\SyncDNSResolver.cpp,81.73155212402344,0.5399554371833801,1.2760376930236816,1.2756359577178955,4.017653700429946E-4,4.249152183532715,0.0,4.017653700429946E-4,dns,81.73155212402344
proxygen\proxygen\lib\http\codec\compress\experimental\simulator\HPACKQueue.h,14.933185577392578,46.48649215698242,3.750406265258789,2.6465117931365967,3.852912341244519E-4,3.2670273780822754,0.14847838878631592,0.29734206199645996,http_general,46.48649215698242
proxygen\proxygen\lib\http\codec\HTTP2Constants.h,1.0004810094833374,55.242469787597656,4.202050685882568,1.400376319885254,4.208862083032727E-4,2.904362201690674,0.3548406958580017,0.7101022601127625,http_general,55.242469787597656
proxygen\proxygen\lib\http\session\ServerPushLifecycle.h,1.0004823207855225,49.1693000793457,3.460461139678955,2.0,4.220678238198161E-4,1.3066926002502441,0.17251461744308472,0.345451295375824,http_general,49.1693000793457
proxygen\proxygen\lib\transport\test\PersistentQuicPskCacheTest.cpp,14.000382423400879,2.9732489585876465,4.3333210945129395,3.0676941871643066,2.732476859819144E-4,0.3407682180404663,13.764171600341797,75.75788116455078,transport,75.75788116455078
proxygen\proxygen\lib\dns\CachingDNSResolver.h,72.92832946777344,0.25343066453933716,2.807183027267456,2.192312717437744,3.4308701287955046E-4,1.0587879419326782,0.7171612977981567,4.311596870422363,dns,72.92832946777344
proxygen\proxygen\lib\http\coro\filters\StatsFilterUtil.h,1.0005290508270264,48.2855110168457,39.28708267211914,1.0,4.629433387890458E-4,1.6827952861785889,1.1860215663909912,0.37250611186027527,http_general,48.2855110168457
proxygen\proxygen\lib\http\coro\filters\RequestContextFilterFactory.cpp,1.0004743337631226,47.667076110839844,4.160473346710205,1.0,4.150761233177036E-4,1.9894505739212036,4.072427272796631,0.3358613848686218,http_general,47.667076110839844
proxygen\proxygen\httpserver\filters\RejectConnectFilter.h,1.0004769563674927,38.00041580200195,92.1050796508789,1.0,4.1738079744391143E-4,1.0309423208236694,17.09115219116211,4.1738079744391143E-4,httpserver,92.1050796508789
proxygen\proxygen\lib\http\HTTPException.cpp,22.46407127380371,221.63888549804688,4.431167125701904,1.3221536874771118,4.204360011499375E-4,4.011103630065918,41.35012435913086,7.2009735107421875,http_general,221.63888549804688
proxygen\proxygen\lib\http\HTTPMessageFilters.h,1.00042724609375,52.221534729003906,3.690300226211548,1.3125419616699219,3.7379577406682074E-4,1.8452444076538086,16.816667556762695,1.662355899810791,http_general,52.221534729003906
proxygen\proxygen\lib\http\coro\filters\test\FakeServerStats.h,1.000483751296997,47.527587890625,38.46266174316406,1.0,4.2325607500970364E-4,1.6063454151153564,16.498703002929688,0.34710314869880676,http_general,47.527587890625
proxygen\proxygen\lib\http\coro\client\test\CoroDNSResolverTests.cpp,38.00048065185547,44.96701431274414,3.5181455612182617,1.20404851436615,4.210176120977849E-4,4.1227803230285645,0.11762847006320953,1.579042911529541,http_general,44.96701431274414
proxygen\proxygen\lib\http\coro\transport\HTTPConnectTransport.h,1.000449538230896,47.13883972167969,3.4097559452056885,2.9884915351867676,3.9335587644018233E-4,4.172780513763428,1.1535110473632812,129.34190368652344,transport,129.34190368652344
proxygen\proxygen\lib\http\coro\test\Mocks.h,1.0005426406860352,46.82144546508789,3.9923410415649414,34.12234115600586,4.7484098467975855E-4,3.0785410404205322,1.1146507263183594,39.22977828979492,http_general,46.82144546508789
proxygen\proxygen\lib\http\codec\HQUtils.h,1.0005418062210083,55.47675323486328,3.8132824897766113,1.0,4.7412767889909446E-4,3.8836543560028076,0.3599579334259033,7.970907211303711,http_general,55.47675323486328
proxygen\proxygen\lib\utils\AsyncTimeoutSet.cpp,1.0004700422286987,0.21699659526348114,2.00041127204895,1.0,4.1123569826595485E-4,0.025971177965402603,2.4579880237579346,4.1123569826595485E-4,ssl,2.4579880237579346
proxygen\proxygen\httpserver\HTTPServer.cpp,2.7621042728424072,44.0468635559082,116.52593994140625,4.098946571350098,1.0003092288970947,7.242864608764648,21.200822830200195,3.275696277618408,httpserver,116.52593994140625
proxygen\proxygen\lib\ssl\test\FizzHandshakeErrorTypeTest.cpp,1.0004315376281738,6.12095832824707,2.249765396118164,2.249387741088867,3.7755060475319624E-4,1.966802716255188,67.39888000488281,86.58467864990234,transport,86.58467864990234
proxygen\proxygen\lib\dns\CAresResolver.h,76.45176696777344,0.25814345479011536,8.530814170837402,6.006365776062012,1.3358300924301147,0.034641072154045105,24.662025451660156,2.6713106632232666,dns,76.45176696777344
proxygen\proxygen\lib\http\codec\DefaultHTTPCodecFactory.h,1.000501036643982,47.97979736328125,3.810863494873047,2.258441925048828,4.3837446719408035E-4,2.780501127243042,2.356775999069214,39.36870193481445,http_general,47.97979736328125
proxygen\proxygen\httpserver\PushHandler.h,1.000514030456543,38.000450134277344,92.39930725097656,1.0,0.5838385820388794,1.0294076204299927,1.0,4.4978567166253924E-4,httpserver,92.39930725097656
proxygen\proxygen\lib\http\codec\compress\test\QPACKContextTests.cpp,21.846952438354492,45.42658233642578,4.0995097160339355,2.820702314376831,0.7102997899055481,4.94565486907959,4.039792060852051,4.085049629211426,http_general,45.42658233642578
proxygen\proxygen\lib\http\HTTPPriorityFunctions.h,1.0005042552947998,47.8101692199707,2.497136354446411,1.0,4.4126948341727257E-4,1.331130027770996,0.1862606555223465,0.3729625940322876,http_general,47.8101692199707
proxygen\proxygen\lib\utils\UnionBasedStatic.h,1.0003702640533447,3.2397365430369973E-4,3.1537253856658936,1.0,3.2397365430369973E-4,0.0,0.0,3.2397365430369973E-4,httpserver,3.1537253856658936
proxygen\proxygen\lib\stats\BaseStats.cpp,1.0005042552947998,4.4126948341727257E-4,4.4126948341727257E-4,1.0,4.4126948341727257E-4,0.053697675466537476,0.0,4.4126948341727257E-4,dns,1.0005042552947998
proxygen\proxygen\lib\http\session\HQDownstreamSession.h,2.000459909439087,56.35070037841797,3.6312572956085205,2.0,1.456429123878479,3.241771697998047,57.589256286621094,48.27849578857422,ssl,57.589256286621094
proxygen\proxygen\lib\http\codec\compress\NoPathIndexingStrategy.h,1.0004991292953491,51.274715423583984,3.5618553161621094,1.0,1.90667724609375,2.7943103313446045,0.21053197979927063,0.4215007424354553,http_general,51.274715423583984
proxygen\proxygen\lib\utils\CryptUtil.cpp,1.0004665851593018,4.083123058080673E-4,1.3810144662857056,1.3806061744689941,4.083123058080673E-4,0.057076968252658844,36.98183059692383,4.083123058080673E-4,ssl,36.98183059692383
proxygen\proxygen\lib\http\coro\transport\test\TestCoroTransport.cpp,13.979691505432129,45.11484909057617,3.568631172180176,1.0,3.0921597499400377E-4,2.727721691131592,0.10655844211578369,102.82744598388672,transport,102.82744598388672
