file_path,contrib,data,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\rl\test_saoe_simple.py,15.826019287109375,84.83487701416016,6.626609802246094,77.64557647705078,28.52455711364746,79.01473999023438,94.50170135498047,27.080310821533203,49.1187858581543,tests,94.50170135498047
qlib\qlib\data\pit.py,12.78700065612793,68.86734771728516,19.21892547607422,9.311602592468262,30.78277587890625,13.659387588500977,16.045543670654297,13.677251815795898,19.960933685302734,data,68.86734771728516
qlib\qlib\contrib\model\pytorch_gats_ts.py,71.20158386230469,119.55237579345703,111.11872863769531,66.22502899169922,54.96601486206055,26.379783630371094,72.7164077758789,75.53385925292969,71.65585327148438,data,119.55237579345703
qlib\tests\test_contrib_model.py,70.98831939697266,0.0,98.03119659423828,3.8840811252593994,78.40778350830078,8.55273723602295,106.88605499267578,11.185929298400879,23.958303451538086,tests,106.88605499267578
qlib\examples\highfreq\highfreq_ops.py,8.178810119628906,16.786911010742188,2.717489242553711,47.137821197509766,10.331955909729004,2.5555830001831055,11.67945671081543,6.111111640930176,12.13281536102295,rl,47.137821197509766
qlib\examples\benchmarks\LightGBM\multi_freq_handler.py,15.990276336669922,79.48234558105469,7.295901298522949,4.367409706115723,9.754476547241211,3.7373547554016113,15.420945167541504,13.03856086730957,19.358722686767578,data,79.48234558105469
qlib\qlib\rl\data\base.py,8.36638355255127,77.14610290527344,4.6603546142578125,83.82084655761719,13.078642845153809,2.433166265487671,6.6196794509887695,13.356772422790527,16.338703155517578,rl,83.82084655761719
qlib\qlib\rl\trainer\callbacks.py,20.158084869384766,68.44731903076172,92.18197631835938,77.6429443359375,20.557849884033203,15.855570793151855,71.83718872070312,18.70001983642578,67.12588500976562,model,92.18197631835938
qlib\qlib\rl\aux_info.py,4.423840045928955,0.4393358826637268,1.00127375125885,84.8847885131836,7.743793964385986,3.9834253787994385,1.00127375125885,4.663630962371826,9.715209007263184,rl,84.8847885131836
qlib\qlib\data\dataset\processor.py,10.881280899047852,78.4474105834961,19.746753692626953,10.278966903686523,31.06366729736328,12.857010841369629,23.090940475463867,21.565757751464844,38.7448844909668,data,78.4474105834961
qlib\qlib\contrib\model\pytorch_gru_ts.py,73.98492431640625,95.5193099975586,101.03668212890625,93.46536254882812,52.678436279296875,24.46084976196289,71.06271362304688,78.87016296386719,62.9001579284668,model,101.03668212890625
qlib\examples\benchmarks\TFT\data_formatters\base.py,13.437647819519043,84.39666748046875,14.774247169494629,3.1532399654388428,25.96181869506836,9.090685844421387,13.832152366638184,14.991405487060547,35.02708435058594,data,84.39666748046875
qlib\qlib\rl\data\__init__.py,5.98546028137207,63.963958740234375,1.001301884651184,86.67153930664062,3.9977474212646484,1.001301884651184,4.999049186706543,7.318042755126953,8.730030059814453,rl,86.67153930664062
qlib\qlib\contrib\model\pytorch_gru.py,72.68053436279297,89.83931732177734,100.56436920166016,39.7824592590332,53.9990234375,24.502992630004883,77.59703826904297,75.66416931152344,60.11458969116211,model,100.56436920166016
qlib\examples\data_demo\data_cache_demo.py,18.78050422668457,86.08000183105469,7.0572052001953125,4.955659866333008,87.73253631591797,10.328680038452148,15.190349578857422,17.84138298034668,131.30909729003906,workflow,131.30909729003906
qlib\examples\benchmarks\TFT\tft.py,33.900936126708984,105.89263153076172,110.55270385742188,11.70703411102295,56.830902099609375,27.866273880004883,83.29304504394531,86.20292663574219,82.96996307373047,model,110.55270385742188
qlib\qlib\data\dataset\storage.py,10.612034797668457,73.33519744873047,21.034915924072266,3.089984893798828,17.26805305480957,15.831562042236328,9.043379783630371,12.752714157104492,29.15960693359375,data,73.33519744873047
qlib\qlib\contrib\data\utils\sepdf.py,62.54969024658203,65.15234375,5.860074520111084,8.080516815185547,17.794179916381836,11.995833396911621,12.755897521972656,79.56627655029297,16.457948684692383,utils,79.56627655029297
qlib\qlib\rl\contrib\utils.py,67.52375793457031,72.83948516845703,3.05820894241333,87.24851989746094,7.796684265136719,2.394688844680786,8.40733814239502,90.19432830810547,11.587924003601074,utils,90.19432830810547
qlib\examples\hyperparameter\LightGBM\hyperparameter_360.py,83.24737548828125,90.96778106689453,95.32901000976562,18.63055419921875,26.973312377929688,16.773433685302734,15.774372100830078,18.036224365234375,45.32219696044922,model,95.32901000976562
qlib\qlib\backtest\backtest.py,11.528213500976562,66.30784606933594,9.945298194885254,7.417019367218018,12.495109558105469,131.5776824951172,10.627452850341797,15.518240928649902,35.76311492919922,strategy,131.5776824951172
qlib\qlib\rl\trainer\__init__.py,7.881863117218018,0.0,1.0012942552566528,88.9892578125,0.0,2.8089423179626465,1.0012942552566528,5.881863117218018,12.21670150756836,rl,88.9892578125
qlib\qlib\data\_libs\__init__.py,3.7315545082092285,63.963958740234375,1.0018759965896606,1.0018759965896606,3.9977474212646484,1.0018759965896606,4.9996232986450195,5.064136981964111,8.731178283691406,data,63.963958740234375
qlib\qlib\utils\mod.py,17.028194427490234,20.6778507232666,41.421478271484375,50.13389205932617,12.202713012695312,14.081713676452637,10.88290786743164,109.80917358398438,17.11447525024414,utils,109.80917358398438
qlib\qlib\backtest\signal.py,13.234588623046875,67.53652954101562,82.67625427246094,5.84652853012085,4.831812381744385,11.416800498962402,26.08974266052246,15.150121688842773,35.48508071899414,model,82.67625427246094
qlib\examples\benchmarks\TFT\data_formatters\qlib_Alpha158.py,25.72801399230957,100.58172607421875,82.6820297241211,15.382564544677734,18.817611694335938,18.910459518432617,49.331695556640625,100.63748168945312,57.989864349365234,utils,100.63748168945312
qlib\qlib\rl\contrib\__init__.py,63.99940490722656,0.0,1.001301884651184,86.67153930664062,0.0,1.001301884651184,1.001301884651184,5.05398416519165,2.067117214202881,rl,86.67153930664062
qlib\scripts\data_collector\index.py,16.654598236083984,97.78804016113281,22.819602966308594,9.189580917358398,33.75989532470703,10.166205406188965,13.672553062438965,22.005924224853516,32.30082702636719,data,97.78804016113281
