file_path,dns,general,http_general,httpserver,pools,sampling,services,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\codec\CapsuleCodec.h,1.0004717111587524,3.778109312057495,52.87150192260742,3.4435718059539795,1.847509741783142,4.127967404201627E-4,3.0338151454925537,94.94743347167969,transport,94.94743347167969
proxygen\proxygen\lib\http\StatusTypeEnum.h,103.2153549194336,4.080990791320801,57.696044921875,8.028818130493164,79.42938232421875,3.5608879989013076E-4,12.138971328735352,4.313013553619385,dns,103.2153549194336
proxygen\proxygen\lib\http\HQConnector.cpp,2.2122983932495117,4.69150447845459,49.58238983154297,3.6137025356292725,1.2417150735855103,4.082577652297914E-4,5.597736358642578,44.598392486572266,http_general,49.58238983154297
proxygen\proxygen\lib\http\coro\filters\Logger.h,34.65428161621094,5.267487525939941,51.749759674072266,4.397578716278076,1.3849616050720215,166.2748260498047,3.1896955966949463,39.24190902709961,sampling,166.2748260498047
proxygen\proxygen\lib\http\codec\compress\QPACKStaticHeaderTable.cpp,3.815068483352661,9.52362060546875,56.23228073120117,3.8910720348358154,4.551324844360352,3.266841411590576,3.224226474761963,7.6283650398254395,http_general,56.23228073120117
proxygen\proxygen\lib\http\coro\filters\test\CompressionFilterTests.cpp,1.0004078149795532,5.639498233795166,54.8414192199707,5.318256378173828,27.1518497467041,3.5687172203324735E-4,4.228604793548584,0.38346797227859497,http_general,54.8414192199707
proxygen\proxygen\lib\http\coro\util\CancellableBaton.h,1.0004769563674927,2.0939531326293945,47.437068939208984,3.4518585205078125,1.0,4.1738079744391143E-4,1.6801016330718994,0.33899828791618347,http_general,47.437068939208984
proxygen\proxygen\lib\http\coro\server\ScopedHTTPServer.h,2.7044119834899902,3.0046796798706055,47.39607620239258,118.19108581542969,5.299520969390869,4.083123058080673E-4,5.893150806427002,0.32678964734077454,httpserver,118.19108581542969
proxygen\proxygen\lib\sampling\Sampling.cpp,1.0004743337631226,0.25372472405433655,4.150761233177036E-4,1.2913621664047241,2.146303176879883,194.2493133544922,0.028839319944381714,4.150761233177036E-4,sampling,194.2493133544922
proxygen\proxygen\lib\utils\HTTPTime.h,1.0005061626434326,1.0004428625106812,38.00044250488281,2.325636386871338,1.3251935243606567,4.428944084793329E-4,1.0270224809646606,4.428944084793329E-4,http_general,38.00044250488281
proxygen\proxygen\lib\http\stats\HeaderCodecStats.h,1.0004796981811523,1.5338053703308105,47.000484466552734,2.7525553703308105,1.296436071395874,4.1971122846007347E-4,1.338333010673523,0.34219440817832947,http_general,47.000484466552734
proxygen\proxygen\lib\http\webtransport\HTTPWebTransport.h,2.0005171298980713,3.234937906265259,54.44146728515625,2.875643491744995,2.4062204360961914,1.0004525184631348,1.3470947742462158,2.3521804809570312,http_general,54.44146728515625
proxygen\proxygen\lib\http\codec\compress\HPACKHeader.h,1.0004358291625977,4.902402877807617,46.48115158081055,3.7561306953430176,2.4427623748779297,3.813816583715379E-4,3.1316566467285156,0.2925490438938141,http_general,46.48115158081055
proxygen\proxygen\lib\http\codec\HTTPCodecPrinter.h,1.0004743337631226,4.225494861602783,49.63919448852539,3.44767689704895,1.0,4.150761233177036E-4,3.3264126777648926,0.3358613848686218,http_general,49.63919448852539
proxygen\proxygen\lib\http\codec\webtransport\test\WebTransportCapsuleCodecTest.cpp,1.0002474784851074,4.0262651443481445,43.65931701660156,3.176522970199585,1.815643548965454,2.165672485716641E-4,3.0342578887939453,1.1324464082717896,http_general,43.65931701660156
proxygen\proxygen\lib\http\test\HTTPMessageTest.cpp,35.03718185424805,8.202498435974121,62.33148193359375,8.461926460266113,4.342507362365723,1.4370211283676326E-4,9.350404739379883,1.125388741493225,http_general,62.33148193359375
