file_path,backtest,data,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\rl\simulator.py,7.177191257476807,1.0620956420898438,2.5507519245147705,82.67732238769531,1.0620956420898438,2.7082715034484863,1.00127375125885,5.015395164489746,8.086847305297852,rl,82.67732238769531
qlib\qlib\contrib\tuner\pipeline.py,110.11360931396484,81.81351470947266,32.081783294677734,5.6549882888793945,64.54191589355469,12.642412185668945,35.2913703918457,25.6064395904541,41.8160400390625,backtest,110.11360931396484
qlib\qlib\contrib\model\catboost_model.py,7.936158180236816,72.34944915771484,98.65168762207031,7.966554164886475,14.709259986877441,17.568092346191406,77.28826904296875,19.159486770629883,30.347326278686523,model,98.65168762207031
qlib\qlib\contrib\eva\alpha.py,2.8593108654022217,61.980472564697266,18.775869369506836,4.549408435821533,20.43540382385254,8.959671020507812,9.236461639404297,18.200342178344727,8.68398380279541,data,61.980472564697266
qlib\scripts\collect_info.py,7.930725574493408,20.693830490112305,11.964360237121582,11.595600128173828,13.417641639709473,7.959782123565674,8.597627639770508,15.343439102172852,7.959782123565674,data,20.693830490112305
qlib\examples\online_srv\online_management_simulate.py,119.24552917480469,67.20767211914062,25.74585723876953,37.26295852661133,33.97893524169922,123.61143493652344,48.112945556640625,28.63159942626953,112.6614990234375,strategy,123.61143493652344
qlib\qlib\contrib\model\pytorch_add.py,11.718353271484375,93.14878845214844,134.6160125732422,34.45703887939453,64.483154296875,30.348552703857422,69.60369110107422,75.50386047363281,47.59926223754883,model,134.6160125732422
qlib\qlib\contrib\model\pytorch_tabnet.py,18.401784896850586,82.78702545166016,124.13694763183594,36.79258728027344,43.63070297241211,31.92166519165039,75.90202331542969,80.89998626708984,37.40597152709961,model,124.13694763183594
qlib\tests\rolling_tests\test_update_pred.py,10.320900917053223,79.0721435546875,110.57868194580078,7.250345706939697,8.159180641174316,16.508113861083984,119.5367660522461,28.83860206604004,148.73231506347656,workflow,148.73231506347656
qlib\scripts\check_dump_bin.py,19.0565242767334,90.89473724365234,21.49423599243164,32.85209274291992,42.8276252746582,17.294193267822266,24.094701766967773,33.935302734375,19.673385620117188,data,90.89473724365234
qlib\qlib\contrib\model\__init__.py,5.048914909362793,7.3123040199279785,110.03995513916016,3.247861385345459,13.330297470092773,8.992697715759277,3.7003366947174072,8.73356819152832,8.729025840759277,model,110.03995513916016
qlib\qlib\utils\index_data.py,8.922517776489258,86.63973236083984,12.694454193115234,4.7939229011535645,51.93513107299805,16.17822265625,20.80492401123047,78.80902099609375,17.96656608581543,data,86.63973236083984
qlib\qlib\data\ops.py,9.61849308013916,64.79261016845703,31.35756492614746,161.9499053955078,43.8524169921875,20.239492416381836,33.05046844482422,21.270366668701172,22.528549194335938,rl,161.9499053955078
qlib\qlib\data\storage\__init__.py,0.47313737869262695,65.44615173339844,2.3953235149383545,1.0012961626052856,4.054051876068115,2.3953235149383545,5.9913330078125,5.055347919464111,7.156134605407715,data,65.44615173339844
qlib\qlib\utils\serial.py,4.304969787597656,11.902270317077637,4.728494644165039,26.293214797973633,2.0785388946533203,6.84011697769165,5.2569708824157715,78.45968627929688,7.956890106201172,utils,78.45968627929688
qlib\examples\online_srv\update_online_pred.py,10.352808952331543,72.57685852050781,37.258296966552734,9.151015281677246,11.709854125976562,14.714374542236328,21.1420955657959,23.073928833007812,154.18911743164062,workflow,154.18911743164062
qlib\qlib\rl\utils\env_wrapper.py,7.049367904663086,1.9102905988693237,22.364255905151367,81.62518310546875,64.91471862792969,14.499728202819824,8.074212074279785,93.67479705810547,17.04473304748535,utils,93.67479705810547
qlib\examples\benchmarks\TFT\expt_settings\configs.py,9.639084815979004,77.59474182128906,105.54261779785156,5.219542026519775,11.64816665649414,11.093855857849121,13.148035049438477,16.38787841796875,30.05225372314453,model,105.54261779785156
qlib\qlib\model\riskmodel\shrink.py,7.339886665344238,25.857961654663086,65.58111572265625,4.500322341918945,19.398073196411133,12.341487884521484,9.666921615600586,12.001242637634277,10.728569030761719,model,65.58111572265625
qlib\qlib\rl\trainer\trainer.py,13.490011215209961,24.474428176879883,26.178558349609375,75.17439270019531,78.781982421875,18.817588806152344,46.073272705078125,22.260787963867188,36.826026916503906,run,78.781982421875
qlib\qlib\contrib\report\__init__.py,21.040298461914062,0.7655506134033203,77.08851623535156,5.499880790710449,0.5459599494934082,6.978034019470215,2.503692150115967,5.29860258102417,12.776291847229004,model,77.08851623535156
qlib\tests\rl\test_saoe_simple.py,110.38909912109375,82.0050048828125,12.813485145568848,76.02345275878906,31.55653190612793,86.64437866210938,97.830078125,29.61270523071289,39.025238037109375,backtest,110.38909912109375
qlib\qlib\data\pit.py,3.166996955871582,65.22455596923828,25.79018211364746,8.546027183532715,30.210912704467773,14.045656204223633,17.888883590698242,16.384838104248047,10.886298179626465,data,65.22455596923828
qlib\qlib\contrib\model\pytorch_gats_ts.py,11.82253646850586,106.34940338134766,130.4456329345703,64.31449890136719,55.32585906982422,30.980091094970703,75.8875503540039,81.39781188964844,41.236751556396484,model,130.4456329345703
qlib\tests\test_contrib_model.py,5.371042251586914,0.5050013065338135,114.32579040527344,2.5073859691619873,79.82508850097656,8.07934284210205,110.08324432373047,14.665432929992676,13.995108604431152,model,114.32579040527344
qlib\examples\highfreq\highfreq_ops.py,1.6011230945587158,15.707036972045898,5.223010063171387,46.887664794921875,10.226304054260254,4.80450439453125,12.635729789733887,7.533693313598633,6.909031867980957,rl,46.887664794921875
qlib\examples\benchmarks\LightGBM\multi_freq_handler.py,6.548703670501709,75.40838623046875,15.867883682250977,4.9979352951049805,9.646414756774902,8.320908546447754,15.276713371276855,15.424099922180176,17.260637283325195,data,75.40838623046875
qlib\qlib\rl\data\base.py,1.4921401739120483,72.2445297241211,7.595156192779541,82.06293487548828,13.71213150024414,4.301942348480225,7.041229248046875,13.48040771484375,8.213231086730957,rl,82.06293487548828
qlib\qlib\rl\trainer\callbacks.py,11.477688789367676,62.763389587402344,108.52806091308594,74.85021209716797,20.58456802368164,17.188230514526367,75.05126190185547,23.03144645690918,45.9622802734375,model,108.52806091308594
qlib\qlib\rl\aux_info.py,9.7210693359375,1.0,2.0012736320495605,82.67732238769531,8.528688430786133,4.983425617218018,1.00127375125885,4.663630962371826,7.803747177124023,rl,82.67732238769531
qlib\qlib\data\dataset\processor.py,9.401899337768555,76.74750518798828,30.676136016845703,7.556647777557373,33.376121520996094,21.406034469604492,23.125093460083008,26.40792465209961,25.247413635253906,data,76.74750518798828
qlib\qlib\contrib\model\pytorch_gru_ts.py,11.55550479888916,84.71835327148438,117.09244537353516,90.20438385009766,52.90161895751953,28.021100997924805,73.62699890136719,84.40662384033203,39.8580207824707,model,117.09244537353516
