file_path,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\KNN.h,23.396883010864258,7.057584285736084,4.683808326721191,3.1535818576812744,24.54561996459961,3.1535818576812744,2.184781551361084,5.243912696838379,2.1535818576812744,3.1535818576812744,3.3383631706237793,5.664724349975586,4.542342185974121,12.600419044494629,PBAS,24.54561996459961
bgslibrary\bgslibrary\algorithms\SuBSENSE.h,4.360578536987305,34.599849700927734,99.00047302246094,3.143800973892212,22.050411224365234,3.143800973892212,2.176520824432373,4.350529670715332,2.143800973892212,3.143800973892212,3.320321798324585,5.625898361206055,41.51481628417969,12.208447456359863,LBSP,99.00047302246094
bgslibrary\bgslibrary\algorithms\VuMeter\TBackground.h,7.395750045776367,0.0,6.0014142990112305,4.840717315673828,4.071614742279053,5.214457035064697,3.6978750228881836,5.570869445800781,3.3655195236206055,132.67457580566406,7.403883934020996,8.71039867401123,7.828729152679443,5.582390308380127,VuMeter,132.67457580566406
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.h,91.11671447753906,0.0,2.330507755279541,1.1555330753326416,0.0,1.1555330753326416,0.0,4.205056667327881,1.1555330753326416,1.1555330753326416,1.1555330753326416,3.4860408306121826,1.1749746799468994,3.4860408306121826,KDE,91.11671447753906
bgslibrary\bgslibrary\algorithms\SuBSENSE.cpp,11.237838745117188,50.88245391845703,118.77298736572266,7.165362358093262,16.279142379760742,9.063043594360352,4.229618549346924,5.288618564605713,14.148569107055664,7.165362358093262,5.362837791442871,7.645928859710693,74.94325256347656,22.39040184020996,LBSP,118.77298736572266
bgslibrary\bgslibrary\algorithms\lb\Types.h,18.24812126159668,25.43204689025879,2.3228890895843506,1.1519477367401123,0.3901863694190979,1.542134165763855,1.806858777999878,3.7605748176574707,1.542134165763855,1.542134165763855,1.1519477367401123,3.474836826324463,103.43910217285156,3.474836826324463,lb,103.43910217285156
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.h,0.40633970499038696,7.063945770263672,2.68498158454895,1.1537654399871826,26.361129760742188,1.1537654399871826,0.18493349850177765,3.374819278717041,1.1537654399871826,1.1537654399871826,2.3386988639831543,3.6654505729675293,1.5428531169891357,11.607745170593262,PBAS,26.361129760742188
bgslibrary\bgslibrary\algorithms\T2F\MRF.h,10.201347351074219,74.10597229003906,9.018965721130371,6.242101669311523,5.100673675537109,6.242101669311523,122.31459045410156,7.290829181671143,15.91235065460205,6.242101669311523,85.83767700195312,10.324783325195312,13.025084495544434,7.774446964263916,T2F,122.31459045410156
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.h,8.175187110900879,17.32976531982422,6.404489040374756,5.236720561981201,14.520066261291504,5.236720561981201,4.0875935554504395,5.4073100090026855,18.203432083129883,5.236720561981201,93.80066680908203,7.734676361083984,10.85465145111084,17.052051544189453,dp,93.80066680908203
bgslibrary\bgslibrary\algorithms\lb\BGModel.cpp,0.4748261272907257,25.205249786376953,2.313981056213379,1.1477558612823486,0.0,1.1477558612823486,0.0,3.3601701259613037,1.1477558612823486,1.1477558612823486,1.1477558612823486,3.614511251449585,101.44883728027344,3.7663254737854004,lb,101.44883728027344
bgslibrary\wrapper\java\src\bgslibrary_BgsLib.h,0.0,5.2903289794921875,0.0,0.0,0.0,0.0,0.14695358276367188,1.0682475566864014,0.0,0.0,1.9365928173065186,0.0,0.937813401222229,0.0,LBP_MRF,5.2903289794921875
bgslibrary\bgslibrary\algorithms\FuzzyChoquetIntegral.h,8.137301445007324,7.140355110168457,6.546122074127197,5.020786762237549,27.926136016845703,5.020786762237549,6.055319309234619,5.308474540710449,3.086728096008301,5.020786762237549,5.207988739013672,7.532412052154541,10.348333358764648,14.609298706054688,PBAS,27.926136016845703
