file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\T2F\MRF.h,3.654073715209961,10.05826187133789,73.64907836914062,8.92909049987793,6.168639183044434,5.029130935668945,6.168639183044434,120.83741760253906,7.166051387786865,15.592689514160156,6.168639183044434,84.77116394042969,12.865832328796387,7.715549945831299,T2F,120.83741760253906
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.h,3.180175304412842,8.132862091064453,17.154090881347656,6.378720283508301,5.213390827178955,14.274662017822266,5.213390827178955,4.066431045532227,5.32895565032959,17.972496032714844,5.213390827178955,92.9800796508789,10.774667739868164,16.923269271850586,dp,92.9800796508789
bgslibrary\bgslibrary\algorithms\lb\BGModel.cpp,1.145263671875,0.47301873564720154,24.78632164001465,2.308685302734375,1.145263671875,0.0,1.145263671875,0.0,3.2923309803009033,1.145263671875,1.145263671875,1.145263671875,100.37866973876953,3.749542236328125,lb,100.37866973876953
bgslibrary\wrapper\java\src\bgslibrary_BgsLib.h,0.0,0.0,5.23693323135376,0.0,0.0,0.0,0.0,0.14547036588191986,1.0019067525863647,0.0,0.0,1.928691029548645,0.9283479452133179,0.0,LBP_MRF,5.23693323135376
bgslibrary\bgslibrary\algorithms\FuzzyChoquetIntegral.h,22.083637237548828,8.073993682861328,7.1041035652160645,6.509380340576172,4.990909099578857,27.54472541809082,4.990909099578857,6.02589750289917,5.2244343757629395,3.071143388748169,4.990909099578857,5.17727518081665,10.302329063415527,14.55180549621582,PBAS,27.54472541809082
bgslibrary\bgslibrary\algorithms\StaticFrameDifference.h,18.7209529876709,0.35875600576400757,6.700491905212402,2.6209661960601807,1.1433817148208618,21.625463485717773,1.1433817148208618,0.1761593371629715,3.288586139678955,1.1433817148208618,1.1433817148208618,1.319541096687317,1.5136231184005737,11.191549301147461,PBAS,21.625463485717773
bgslibrary\bgslibrary\algorithms\LOBSTER.h,19.609607696533203,4.355682373046875,34.18117904663086,98.20269012451172,3.1426706314086914,21.778152465820312,3.1426706314086914,2.1755447387695312,4.287158012390137,2.1426706314086914,3.1426706314086914,3.3182153701782227,41.511592864990234,12.16286563873291,LBSP,98.20269012451172
bgslibrary\bgslibrary\algorithms\dp\ZivkovicAGMM.cpp,3.0645041465759277,14.536972999572754,47.024696350097656,6.797918796539307,11.651350975036621,20.889963150024414,6.852027416229248,33.67964553833008,5.17381477355957,16.332971572875977,6.852027416229248,157.6537322998047,46.94102478027344,15.486066818237305,dp,157.6537322998047
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.cpp,20.9174861907959,11.46099853515625,30.59518051147461,6.580019474029541,7.261963367462158,15.982257843017578,7.261963367462158,4.157814025878906,5.272246360778809,17.108137130737305,7.261963367462158,5.296668529510498,94.8743667602539,15.548199653625488,lb,94.8743667602539
bgslibrary\bgslibrary\algorithms\KDE\NPBGSubtractor.h,1.1461067199707031,101.7535171508789,0.3707466721534729,31.472251892089844,1.1461067199707031,1.7949445247650146,5.369147300720215,0.0,4.752133846282959,1.1461067199707031,1.1461067199707031,2.95430588722229,1.3141456842422485,14.172239303588867,KDE,101.7535171508789
bgslibrary\bgslibrary\algorithms\LBP_MRF\graph.h,2.4814348220825195,50.41675567626953,177.1815948486328,69.17233276367188,3.181225299835205,1.3502837419509888,2.4814348220825195,39.288578033447266,5.489323616027832,27.527236938476562,2.4814348220825195,7.321928977966309,69.9326400756836,5.765654563903809,LBP_MRF,177.1815948486328
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.cpp,1.5366137027740479,86.40335083007812,13.639408111572266,3.2871713638305664,1.1419867277145386,0.39462700486183167,1.5366137027740479,0.0,4.434363842010498,1.5366137027740479,1.5366137027740479,1.1419867277145386,5.850113868713379,10.922074317932129,KDE,86.40335083007812
bgslibrary\gui\qt\qt_utils.h,0.3533145487308502,16.40468406677246,19.931324005126953,2.1444811820983887,2.1444811820983887,2.497795820236206,0.3533145487308502,2.6385600566864014,1.3547977209091187,0.3533145487308502,0.3533145487308502,0.17536991834640503,2.673180341720581,6.1379475593566895,LBP_MRF,19.931324005126953
bgslibrary\bgslibrary\algorithms\dp\MeanBGS.h,3.1852614879608154,8.149755477905273,17.224206924438477,6.389000415802002,5.222700595855713,14.371784210205078,5.222700595855713,4.074877738952637,5.334913730621338,3.1852614879608154,5.222700595855713,94.99466705322266,11.305392265319824,25.823711395263672,dp,94.99466705322266
bgslibrary\bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.cpp,3.2647247314453125,7.18286657333374,41.90684127807617,6.4810872077941895,6.957080841064453,25.49829864501953,5.060441493988037,91.3935775756836,6.179354667663574,10.647200584411621,106.8822021484375,8.398797988891602,8.362201690673828,9.054435729980469,VuMeter,106.8822021484375
bgslibrary\bgslibrary\FrameProcessor.cpp,69.82259368896484,94.31547546386719,198.15164184570312,24.191051483154297,103.55659484863281,63.402103424072266,119.90641021728516,65.7562484741211,122.46607208251953,63.82170104980469,117.6046142578125,40.46601486206055,57.62349319458008,20.417198181152344,LBP_MRF,198.15164184570312
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV2.h,19.57809066772461,4.354814052581787,12.647412300109863,4.615550994873047,3.1424689292907715,23.398826599121094,3.1424689292907715,3.341461181640625,4.286752700805664,2.1424689292907715,3.1424689292907715,4.317838668823242,7.737051963806152,12.154717445373535,PBAS,23.398826599121094
bgslibrary\bgslibrary\algorithms\ViBe.h,20.98164939880371,6.599851608276367,10.324675559997559,4.710209846496582,4.6406474113464355,21.988300323486328,3.802506446838379,2.623960018157959,4.334836006164551,72.67723083496094,2.191361427307129,5.165219306945801,7.672828674316406,13.650656700134277,ViBe,72.67723083496094
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.cpp,20.9174861907959,11.46099853515625,30.59518051147461,6.580019474029541,7.261963367462158,15.982257843017578,7.261963367462158,4.157814025878906,5.272246360778809,17.108137130737305,7.261963367462158,5.296668529510498,94.8743667602539,15.548199653625488,lb,94.8743667602539
bgslibrary\bgslibrary\algorithms\FuzzySugenoIntegral.cpp,18.685876846313477,16.82171630859375,107.52635955810547,55.77959442138672,10.329307556152344,22.40394401550293,8.678400993347168,56.37738037109375,6.94182825088501,16.202425003051758,8.678400993347168,21.044034957885742,91.44635009765625,16.46539878845215,LBP_MRF,107.52635955810547
bgslibrary\bgslibrary\algorithms\MultiLayer\BGS.h,5.270914077758789,37.377891540527344,149.20594787597656,112.24300384521484,108.78165435791016,26.318151473999023,7.0617194175720215,68.15269470214844,8.857134819030762,28.32174301147461,7.0617194175720215,22.33366584777832,107.04335021972656,32.282386779785156,LBP_MRF,149.20594787597656
bgslibrary\bgslibrary\algorithms\T2FMRF_UV.cpp,19.208515167236328,12.953152656555176,65.53657531738281,8.399197578430176,8.051057815551758,25.378585815429688,8.051057815551758,69.97493743896484,7.122931003570557,15.643421173095703,8.051057815551758,83.58047485351562,53.087013244628906,15.20754623413086,dp,83.58047485351562
bgslibrary\bgslibrary\algorithms\lb\BGModelFuzzyGauss.cpp,1.8660002946853638,19.101747512817383,61.43769454956055,2.2829203605651855,1.1331390142440796,18.792415618896484,1.8660002946853638,6.898812294006348,4.000795841217041,1.8660002946853638,1.8660002946853638,102.43010711669922,138.53451538085938,21.230953216552734,lb,138.53451538085938
bgslibrary\gui\mfc\src\App.h,0.0,0.0,44.66435241699219,0.0,0.0,0.0,0.0,0.4475008249282837,1.0015435218811035,0.0,0.0,0.14916694164276123,2.8759825229644775,5.2208428382873535,LBP_MRF,44.66435241699219
