file_path,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\gui\mfc\src\Dlg.cpp,221.29421997070312,66.5611572265625,36.7462043762207,42.05743408203125,24.568973541259766,42.20941162109375,79.41677856445312,10.368461608886719,68.2259521484375,102.59707641601562,61.96369171142578,14.115055084228516,79.0286865234375,73.99623107910156,KDE,221.29421997070312
bgslibrary\bgslibrary\algorithms\dp\AdaptiveMedianBGS.cpp,9.892684936523438,36.13778305053711,25.335500717163086,6.951719284057617,16.72963523864746,6.951719284057617,4.065791606903076,5.3371710777282715,3.157721519470215,6.951719284057617,88.26487731933594,7.637136459350586,9.674959182739258,16.685544967651367,dp,88.26487731933594
bgslibrary\bgslibrary\algorithms\VuMeter\TBackground.cpp,7.765716552734375,32.07284164428711,6.967796802520752,7.324670791625977,4.263993263244629,5.388819217681885,24.845964431762695,5.626839637756348,3.447389841079712,121.43934631347656,7.695871353149414,11.427388191223145,8.108121871948242,6.380924224853516,VuMeter,121.43934631347656
bgslibrary\bgslibrary\algorithms\T2FMRF_UM.h,0.3444001078605652,60.20982360839844,2.6011579036712646,1.1400160789489746,22.12698745727539,1.1400160789489746,60.9511833190918,4.084832191467285,1.1400160789489746,1.1400160789489746,98.72514343261719,3.610783815383911,17.924612045288086,12.885052680969238,dp,98.72514343261719
bgslibrary\bgslibrary\algorithms\PAWCS.cpp,11.144547462463379,54.60017395019531,117.063720703125,7.124398231506348,15.940510749816895,8.535377502441406,4.323972225189209,5.270610809326172,13.815975189208984,7.124398231506348,6.466111183166504,7.608615875244141,68.96583557128906,26.390321731567383,LBSP,117.063720703125
bgslibrary\bgslibrary\algorithms\LBSP\LBSP.cpp,15.147369384765625,51.481197357177734,106.25442504882812,1.0774438381195068,1.6909881830215454,1.4365416765213013,24.742263793945312,3.547875165939331,18.094921112060547,1.4365416765213013,2.289000988006592,3.5351903438568115,40.798702239990234,13.503297805786133,LBSP,106.25442504882812
bgslibrary\bgslibrary\algorithms\LOBSTER.cpp,11.449456214904785,47.10871505737305,120.61792755126953,7.257015705108643,17.10053825378418,9.090444564819336,4.160328388214111,5.329080581665039,14.931522369384766,7.257015705108643,5.298891067504883,7.730024814605713,75.99127197265625,13.638927459716797,LBSP,120.61792755126953
bgslibrary\bgslibrary\algorithms\FuzzyChoquetIntegral.cpp,16.669218063354492,107.08956146240234,55.45594787597656,10.24020004272461,21.96954917907715,8.637738227844238,55.89937973022461,6.939108371734619,15.946751594543457,8.637738227844238,20.80512237548828,11.324211120605469,91.1297607421875,16.361473083496094,LBP_MRF,107.08956146240234
bgslibrary\bgslibrary\algorithms\MultiLayer\BackgroundSubtractionAPI.h,28.149932861328125,6.399819850921631,9.69947624206543,118.02324676513672,6.673267364501953,5.273974418640137,6.673267364501953,7.238169193267822,4.273974418640137,5.273974418640137,10.35946273803711,7.7238640785217285,11.110227584838867,17.223600387573242,MultiLayer,118.02324676513672
bgslibrary\bgslibrary\algorithms\algorithms.cpp,0.0,0.0,2.312290906906128,1.1469603776931763,0.0,1.1469603776931763,0.0,3.350721597671509,1.1469603776931763,1.1469603776931763,1.1469603776931763,3.4592511653900146,1.165330410003662,3.4592511653900146,general,3.4592511653900146
bgslibrary\bgslibrary\algorithms\IMBS\IMBS.cpp,18.041852951049805,37.28974914550781,35.45432662963867,5.810394763946533,12.501338005065918,10.8231782913208,37.378849029541016,7.4214701652526855,26.799421310424805,6.180817604064941,5.224126815795898,9.522228240966797,66.9044189453125,35.94449234008789,lb,66.9044189453125
