file_path,IMBS,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\SuBSENSE.h,19.7447452545166,34.50029754638672,98.82109069824219,3.143533229827881,21.985637664794922,3.143533229827881,2.1762900352478027,4.349876880645752,2.143533229827881,3.143533229827881,3.3198232650756836,5.624831199645996,41.51405334472656,12.197657585144043,LBSP,98.82109069824219
bgslibrary\bgslibrary\algorithms\VuMeter\TBackground.h,3.361820936203003,0.0,5.995224952697754,4.834909439086914,4.065521717071533,5.208024501800537,3.6924068927764893,5.566683292388916,3.361820936203003,132.4532012939453,7.394768714904785,8.6974458694458,7.818270206451416,5.577418327331543,VuMeter,132.4532012939453
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.h,1.1553763151168823,0.0,2.330174684524536,1.1553763151168823,0.0,1.1553763151168823,0.0,4.203842639923096,1.1553763151168823,1.1553763151168823,1.1553763151168823,3.485551118850708,1.1747983694076538,3.485551118850708,TwoPoints,4.203842639923096
bgslibrary\bgslibrary\algorithms\SuBSENSE.cpp,20.096370697021484,50.70555114746094,118.56832122802734,7.147979259490967,16.13425064086914,9.035407066345215,4.216892719268799,5.280971527099609,14.006180763244629,7.147979259490967,5.349111080169678,7.630075454711914,74.69890594482422,22.240388870239258,LBSP,118.56832122802734
bgslibrary\bgslibrary\algorithms\lb\Types.h,22.596420288085938,25.360652923583984,2.3219826221466064,1.1515212059020996,0.38942959904670715,1.5409507751464844,1.7976804971694946,3.7587783336639404,1.5409507751464844,1.5409507751464844,1.1515212059020996,3.473503828048706,103.25574493408203,3.473503828048706,lb,103.25574493408203
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.h,20.361886978149414,7.053852081298828,2.6831204891204834,1.153473973274231,26.2801513671875,1.153473973274231,0.18469226360321045,3.3741087913513184,1.153473973274231,1.153473973274231,2.3381662368774414,3.6642985343933105,1.5420427322387695,11.596121788024902,PBAS,26.2801513671875
bgslibrary\bgslibrary\algorithms\T2F\MRF.h,3.6829967498779297,73.99994659423828,8.998058319091797,6.225008964538574,5.084024906158447,6.225008964538574,121.97120666503906,7.275608539581299,15.83796501159668,6.225008964538574,85.58952331542969,10.302804946899414,12.988122940063477,7.7607927322387695,T2F,121.97120666503906
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.h,3.1892337799072266,17.278942108154297,6.397029876708984,5.229969501495361,14.448357582092285,5.229969501495361,4.0814714431762695,5.40271520614624,18.13641929626465,5.229969501495361,93.56243896484375,7.726057529449463,10.831480026245117,17.014774322509766,dp,93.56243896484375
bgslibrary\bgslibrary\algorithms\lb\BGModel.cpp,1.147031307220459,25.08346939086914,2.31244158744812,1.147031307220459,0.0,1.147031307220459,0.0,3.3584041595458984,1.147031307220459,1.147031307220459,1.147031307220459,3.6109235286712646,101.13773345947266,3.7614223957061768,lb,101.13773345947266
bgslibrary\wrapper\java\src\bgslibrary_BgsLib.h,0.0,5.276773452758789,0.0,0.0,0.0,0.0,0.14657704532146454,1.0681934356689453,0.0,0.0,1.9345959424972534,0.0,0.9354104399681091,0.0,LBP_MRF,5.276773452758789
bgslibrary\bgslibrary\algorithms\FuzzyChoquetIntegral.h,22.239160537719727,7.12989616394043,6.535456657409668,5.012112617492676,27.81538200378418,5.012112617492676,6.046777725219727,5.303461074829102,3.0822043418884277,5.012112617492676,5.199073791503906,7.522703647613525,10.334980010986328,14.59267520904541,PBAS,27.81538200378418
bgslibrary\bgslibrary\algorithms\StaticFrameDifference.h,18.82674217224121,6.724283695220947,2.6249756813049316,1.1440540552139282,21.79376220703125,1.1440540552139282,0.176738902926445,3.351146697998047,1.1440540552139282,1.1440540552139282,1.3207930326461792,3.6269078254699707,1.5155386924743652,11.218650817871094,PBAS,21.79376220703125
bgslibrary\bgslibrary\algorithms\LOBSTER.h,19.7447452545166,34.50029754638672,98.77694702148438,3.143533229827881,21.985637664794922,3.143533229827881,2.1762900352478027,4.349876880645752,2.143533229827881,3.143533229827881,3.3198232650756836,5.624831199645996,41.51405334472656,12.197657585144043,LBSP,98.77694702148438
bgslibrary\bgslibrary\algorithms\dp\ZivkovicAGMM.cpp,3.090916395187378,48.23275375366211,6.855783939361572,11.788655281066895,21.057825088500977,6.941802978515625,35.656375885009766,5.253972053527832,16.765501022338867,6.941802978515625,161.86244201660156,7.485194206237793,48.077598571777344,15.777762413024902,dp,161.86244201660156
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.cpp,21.24937629699707,31.342674255371094,6.621216297149658,7.305624485015869,16.37568473815918,7.305624485015869,4.186192035675049,5.350638389587402,17.38434600830078,7.305624485015869,5.327634811401367,7.769768238067627,96.53419494628906,15.671014785766602,lb,96.53419494628906
bgslibrary\bgslibrary\algorithms\KDE\NPBGSubtractor.h,1.1477611064910889,0.3781934380531311,32.053096771240234,1.1477611064910889,1.8039458990097046,5.4355387687683105,0.0,4.840780258178711,1.1477611064910889,1.1477611064910889,2.972193717956543,3.614537477493286,1.3190152645111084,14.36414909362793,LBSP,32.053096771240234
bgslibrary\bgslibrary\algorithms\LBP_MRF\graph.h,2.6793837547302246,185.29843139648438,75.1859359741211,3.507697105407715,1.5365839004516602,2.6793837547302246,43.81194305419922,5.7683258056640625,30.27117156982422,2.6793837547302246,7.7538957595825195,5.147243499755859,72.87823486328125,6.008331298828125,LBP_MRF,185.29843139648438
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.cpp,1.5410685539245605,14.006778717041016,3.302530527114868,1.1441830396652222,0.3968855142593384,1.5410685539245605,0.0,4.514003276824951,1.5410685539245605,1.5410685539245605,1.1441830396652222,3.6274218559265137,5.903582572937012,10.976790428161621,LBP_MRF,14.006778717041016
bgslibrary\gui\qt\qt_utils.h,0.3550978899002075,20.03206443786621,2.1553053855895996,2.1553053855895996,2.5104031562805176,0.3550978899002075,2.6518819332122803,0.3550978899002075,0.3550978899002075,0.3550978899002075,0.17599207162857056,0.17599207162857056,2.6849985122680664,6.159722805023193,LBP_MRF,20.03206443786621
bgslibrary\bgslibrary\algorithms\dp\MeanBGS.h,3.1935997009277344,17.339067459106445,6.40585470199585,5.237957000732422,14.533255577087402,5.237957000732422,4.088714599609375,5.408151149749756,3.1935997009277344,5.237957000732422,98.68453979492188,7.736254692077637,11.36368179321289,26.053699493408203,dp,98.68453979492188
bgslibrary\bgslibrary\algorithms\VuMeter\TBackgroundVuMeter.cpp,3.3021109104156494,42.762550354003906,6.578439235687256,7.050265312194824,26.254140853881836,5.124534606933594,96.35242462158203,6.276978015899658,11.218513488769531,110.14766693115234,8.510523796081543,13.530285835266113,8.494796752929688,9.356851577758789,VuMeter,110.14766693115234
bgslibrary\bgslibrary\FrameProcessor.cpp,71.08341979980469,204.999755859375,25.952821731567383,105.6064453125,65.46928405761719,123.00473022460938,68.32240295410156,125.65657806396484,64.80948638916016,120.54388427734375,40.63367462158203,1.4577879905700684,58.949462890625,20.92450714111328,LBP_MRF,204.999755859375
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV2.h,19.717609405517578,12.716434478759766,4.620839595794678,3.1433603763580322,23.620145797729492,3.1433603763580322,3.343271493911743,4.349455833435059,2.1433603763580322,3.1433603763580322,4.3195013999938965,5.7912726402282715,7.7472686767578125,12.190690040588379,PBAS,23.620145797729492
bgslibrary\bgslibrary\algorithms\ViBe.h,21.1256160736084,10.381686210632324,4.736510276794434,4.677102088928223,22.212141036987305,3.8304293155670166,2.6496188640594482,4.407744884490967,72.76234436035156,2.2028825283050537,5.205961227416992,6.162981033325195,7.733454704284668,13.69834041595459,ViBe,72.76234436035156
bgslibrary\bgslibrary\algorithms\LBFuzzyGaussian.cpp,21.24937629699707,31.342674255371094,6.621216297149658,7.305624485015869,16.37568473815918,7.305624485015869,4.186192035675049,5.350638389587402,17.38434600830078,7.305624485015869,5.327634811401367,7.769768238067627,96.53419494628906,15.671014785766602,lb,96.53419494628906
bgslibrary\bgslibrary\algorithms\FuzzySugenoIntegral.cpp,19.261781692504883,108.49815368652344,56.50999069213867,10.536762237548828,23.443626403808594,8.771696090698242,57.45218276977539,7.092284202575684,16.792402267456055,8.771696090698242,21.598033905029297,11.650443077087402,92.15608215332031,16.703092575073242,LBP_MRF,108.49815368652344
bgslibrary\bgslibrary\algorithms\MultiLayer\BGS.h,5.327317237854004,151.45632934570312,114.94498443603516,110.86975860595703,27.202789306640625,7.143436908721924,70.57945251464844,8.996997833251953,29.091543197631836,7.143436908721924,22.74088478088379,13.414812088012695,107.84542846679688,32.483455657958984,LBP_MRF,151.45632934570312
bgslibrary\bgslibrary\algorithms\T2FMRF_UV.cpp,19.634641647338867,65.8720474243164,8.50844955444336,8.167488098144531,25.99576759338379,8.167488098144531,70.3372802734375,7.256097793579102,16.048568725585938,8.167488098144531,85.30079650878906,8.656243324279785,54.17340850830078,15.410659790039062,dp,85.30079650878906
bgslibrary\bgslibrary\algorithms\lb\BGModelFuzzyGauss.cpp,1.8809247016906738,63.20013427734375,2.2907516956329346,1.136824369430542,18.893978118896484,1.8809247016906738,7.005425930023193,4.0776238441467285,1.8809247016906738,1.8809247016906738,104.27314758300781,3.5428194999694824,140.800537109375,21.59211540222168,lb,140.800537109375
bgslibrary\gui\mfc\src\App.h,0.0,44.83561706542969,0.0,0.0,0.0,0.0,0.4492168128490448,0.0,0.0,0.0,0.14973893761634827,0.0,2.8827643394470215,5.240862846374512,LBP_MRF,44.83561706542969
bgslibrary\bgslibrary\algorithms\dp\WrenGA.h,3.1892337799072266,17.278942108154297,6.397029876708984,5.229969501495361,14.448357582092285,5.229969501495361,7.802302360534668,5.40271520614624,3.1892337799072266,5.229969501495361,101.00409698486328,7.726057529449463,29.855634689331055,17.840526580810547,dp,101.00409698486328
