file_path,feature,filter_bank,general,mir,best_module,best_likelihood
audioFlux\src\flux_spectral.c,26.6094913482666,10.815107345581055,9.5414400100708,28.284889221191406,mir,28.284889221191406
audioFlux\src\fst_algorithm.c,2.0,1.092318058013916,7.554672718048096,13.247838973999023,mir,13.247838973999023
audioFlux\include\classic\hmm.h,4.400918960571289,3.90157413482666,78.66905975341797,13.495323181152344,general,78.66905975341797
audioFlux\src\nsgt_algorithm.c,7.579045295715332,83.4634017944336,5.899796962738037,26.140522003173828,filter_bank,83.4634017944336
audioFlux\include\mir\_pitch_cep.h,3.0794694423675537,0.0,3.001863718032837,82.58277130126953,mir,82.58277130126953
audioFlux\src\flux_base.h,10.101305961608887,185.64772033691406,9.031004905700684,65.3615493774414,filter_bank,185.64772033691406
audioFlux\src\mir\_pitch_hps.c,3.6819090843200684,0.0,3.509514570236206,70.88978576660156,mir,70.88978576660156
audioFlux\src\filterbank\coef\__coef_r.h,1.0,45.180419921875,3.9804699420928955,47.22831726074219,mir,47.22831726074219
audioFlux\src\dsp\xcorr_algorithm.h,1.0,0.0,7.763265132904053,1.4109184741973877,general,7.763265132904053
audioFlux\src\mir\onset_algorithm.h,1.4839791059494019,36.81195068359375,4.839506149291992,93.49952697753906,mir,93.49952697753906
audioFlux\src\classic\hmm.h,4.400918960571289,3.90157413482666,78.66905975341797,13.495323181152344,general,78.66905975341797
audioFlux\src\dsp\resample_algorithm.h,2.970355749130249,0.0,4.831989288330078,29.034074783325195,mir,29.034074783325195
audioFlux\src\cepstrogram_algorithm.h,9.054330825805664,0.0,4.858905792236328,1.4033219814300537,feature,9.054330825805664
audioFlux\src\dsp\czt_algorithm.h,1.0,0.0,4.881307601928711,1.4138414859771729,general,4.881307601928711
audioFlux\src\vector\flux_complex.h,2.0044474601745605,0.7831019163131714,3.3125839233398438,2.044135808944702,general,3.3125839233398438
audioFlux\src\filterbank\nsgt_filterBank.c,8.348882675170898,168.77670288085938,5.310023307800293,44.07246398925781,filter_bank,168.77670288085938
audioFlux\src\dsp\dft_algorithm.c,2.740313768386841,0.0,7.153718948364258,10.697550773620605,mir,10.697550773620605
audioFlux\include\emd_algorithm.h,2.5833396911621094,0.0,4.884453296661377,1.4153186082839966,general,4.884453296661377
audioFlux\src\mir\pitchShift_algorithm.h,2.0,0.0,4.879222869873047,78.14025115966797,mir,78.14025115966797
audioFlux\include\st_algorithm.h,2.0,0.0,5.871065616607666,1.408036470413208,general,5.871065616607666
audioFlux\src\dsp\flux_window.h,1.9796794652938843,1.4965956211090088,3.0017967224121094,1.9215446710586548,general,3.0017967224121094
audioFlux\include\dsp\conv_algorithm.h,5.9532694816589355,2.764965057373047,10.200695991516113,3.74233078956604,general,10.200695991516113
audioFlux\src\wsst_algorithm.c,7.704854488372803,3.8409829139709473,6.79998254776001,30.859954833984375,mir,30.859954833984375
audioFlux\src\filterbank\chroma_filterBank.h,1.0,94.26239013671875,3.001887798309326,1.0,filter_bank,94.26239013671875
audioFlux\src\dsp\czt_algorithm.c,1.0,0.0,5.780217170715332,4.275392532348633,general,5.780217170715332
audioFlux\src\vector\flux_complex.c,3.152449607849121,1.9287900924682617,7.305689334869385,37.664424896240234,mir,37.664424896240234
audioFlux\src\mir\_pitch_ffp.c,8.837573051452637,116.46464538574219,5.68932580947876,82.23444366455078,filter_bank,116.46464538574219
audioFlux\src\mir\_pitch_ncf.c,5.5008225440979,0.0,3.513267755508423,67.12200164794922,mir,67.12200164794922
audioFlux\src\mir\timeStretch_algorithm.c,6.750538349151611,23.024839401245117,5.1970109939575195,70.8034896850586,mir,70.8034896850586
audioFlux\src\mir\harmonic_algorithm.c,2.9140172004699707,151.043701171875,6.452497482299805,80.06058502197266,filter_bank,151.043701171875
audioFlux\include\cwd_algorithm.h,2.0,0.0,4.884453296661377,1.4153186082839966,general,4.884453296661377
