file_path,datasets,environments,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\examples\so100_to_so100_EE\teleoperate.py,9.973891258239746,4.037978649139404,3.071143627166748,44.211997985839844,6.930666923522949,robot_devices,44.211997985839844
lerobot\tests\policies\lingbot_va\test_configuration_lingbot_va.py,6.994378566741943,4.136662006378174,79.1491470336914,24.327880859375,5.454855442047119,policies,79.1491470336914
lerobot\src\lerobot\policies\groot\action_head\cross_attention_dit.py,11.300710678100586,5.85402774810791,60.75132369995117,2.0998687744140625,16.91507911682129,policies,60.75132369995117
lerobot\src\lerobot\policies\smolvla\processor_smolvla.py,37.70145797729492,3.43819260597229,98.0018310546875,31.630077362060547,5.483767986297607,policies,98.0018310546875
lerobot\src\lerobot\policies\pi05\configuration_pi05.py,17.15388298034668,6.04797887802124,85.96051788330078,25.76445770263672,8.595887184143066,policies,85.96051788330078
lerobot\src\lerobot\utils\bimanual.py,0.0,0.0,0.7224864959716797,0.39708492159843445,0.33507007360458374,policies,0.7224864959716797
lerobot\src\lerobot\processor\relative_action_processor.py,5.222461700439453,5.277745723724365,12.185592651367188,34.986427307128906,6.155529975891113,robot_devices,34.986427307128906
lerobot\src\lerobot\teleoperators\bi_so_leader\bi_so_leader.py,1.6306779384613037,1.9855425357818604,2.6483583450317383,50.18533706665039,5.0879058837890625,robot_devices,50.18533706665039
lerobot\src\lerobot\robots\bi_openarm_follower\bi_openarm_follower.py,10.39045238494873,4.606194972991943,2.704679250717163,61.122406005859375,6.002111434936523,robot_devices,61.122406005859375
lerobot\src\lerobot\data_processing\sarm_annotations\subtask_annotation.py,67.91343688964844,7.906917572021484,17.50787353515625,37.469417572021484,27.602384567260742,datasets,67.91343688964844
lerobot\tests\policies\multi_task_dit\test_multi_task_dit.py,44.785953521728516,6.294295310974121,78.2734375,34.15339660644531,13.1607666015625,policies,78.2734375
lerobot\src\lerobot\rewards\sarm\configuration_sarm.py,13.772721290588379,6.437523365020752,20.66777992248535,21.022615432739258,6.319395065307617,robot_devices,21.022615432739258
lerobot\src\lerobot\cameras\zmq\__init__.py,0.0,0.0,0.0,2.2950286865234375,0.0,robot_devices,2.2950286865234375
lerobot\tests\datasets\test_language.py,127.52287292480469,5.590198040008545,2.9420762062072754,7.322866439819336,15.458206176757812,datasets,127.52287292480469
lerobot\examples\isaac_teleop_to_so101\record.py,56.70320510864258,61.879974365234375,6.463748455047607,87.20709991455078,21.17301368713379,robot_devices,87.20709991455078
lerobot\tests\test_robomme_env.py,31.32283592224121,3.4622421264648438,2.599083662033081,0.5464715361595154,7.005964279174805,datasets,31.32283592224121
lerobot\src\lerobot\policies\smolvla\modeling_smolvla.py,16.21757698059082,10.461151123046875,70.23212432861328,40.22613525390625,24.2169189453125,policies,70.23212432861328
lerobot\src\lerobot\datasets\image_writer.py,103.26859283447266,7.753873348236084,3.2678401470184326,4.048616409301758,20.477916717529297,datasets,103.26859283447266
lerobot\src\lerobot\rewards\sarm\rabc.py,101.2042236328125,3.173783302307129,9.68696117401123,34.53461837768555,14.248248100280762,datasets,101.2042236328125
lerobot\tests\policies\groot\test_groot_vs_original.py,18.778839111328125,5.042375087738037,93.40113067626953,35.358795166015625,18.692750930786133,policies,93.40113067626953
lerobot\examples\isaac_teleop_to_so101\common.py,29.76384925842285,17.94390296936035,9.563061714172363,101.16358947753906,39.897918701171875,robot_devices,101.16358947753906
lerobot\src\lerobot\utils\feature_utils.py,40.789791107177734,2.582923173904419,17.87896728515625,1.0596669912338257,2.671700954437256,datasets,40.789791107177734
lerobot\src\lerobot\data_processing\__init__.py,5.40605354309082,0.0,0.0,0.012876658700406551,0.0,datasets,5.40605354309082
lerobot\src\lerobot\datasets\__init__.py,120.5569076538086,3.748518705368042,1.0368919372558594,1.022853136062622,9.518693923950195,datasets,120.5569076538086
lerobot\tests\processor\test_vqbet_processor.py,24.26202392578125,4.846435070037842,22.2622013092041,35.60417556762695,6.553880214691162,robot_devices,35.60417556762695
lerobot\src\lerobot\annotations\steerable_pipeline\reader.py,18.28470802307129,6.547287464141846,3.3110523223876953,3.8362560272216797,11.899468421936035,datasets,18.28470802307129
lerobot\src\lerobot\robots\koch_follower\koch_follower.py,11.508928298950195,9.254863739013672,8.42304515838623,61.41423416137695,20.63608741760254,robot_devices,61.41423416137695
lerobot\src\lerobot\datasets\multi_dataset.py,132.2886505126953,2.3511784076690674,1.847168207168579,7.319135665893555,16.859270095825195,datasets,132.2886505126953
lerobot\tests\processor\test_tdmpc_processor.py,25.198135375976562,5.166808605194092,23.32699966430664,35.60529327392578,6.553880214691162,robot_devices,35.60529327392578
lerobot\tests\rl\test_actor.py,94.34908294677734,5.497974872589111,17.17782974243164,32.20685958862305,10.845187187194824,datasets,94.34908294677734
lerobot\tests\processor\test_diffusion_processor.py,25.06382179260254,4.820176601409912,24.23689079284668,35.513824462890625,6.53804349899292,robot_devices,35.513824462890625
lerobot\src\lerobot\policies\fastwam\wan\modular.py,29.890460968017578,9.729948997497559,57.18268966674805,40.67656707763672,30.638896942138672,policies,57.18268966674805
lerobot\src\lerobot\teleoperators\so_leader\config_so_leader.py,4.770820617675781,0.0,0.0,0.33620330691337585,1.5077846050262451,datasets,4.770820617675781
lerobot\src\lerobot\utils\utils.py,76.72782135009766,5.053129196166992,6.88526725769043,5.04934024810791,20.697114944458008,datasets,76.72782135009766
lerobot\tests\policies\pi0_fast\test_pi0_fast_original_vs_lerobot.py,31.285938262939453,10.398609161376953,82.73173522949219,34.47440719604492,10.562579154968262,policies,82.73173522949219
lerobot\src\lerobot\policies\vla_jepa\action_head.py,14.374871253967285,4.2465925216674805,66.43714141845703,35.96809005737305,18.12408447265625,policies,66.43714141845703
lerobot\src\lerobot\robots\so_follower\robot_kinematic_processor.py,14.793174743652344,6.132360458374023,11.120914459228516,44.32530975341797,10.11547565460205,robot_devices,44.32530975341797
