file_path,configs,environments,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\tests\datasets\test_delta_timestamps.py,0.7343693971633911,3.8001766204833984,3.6372504234313965,5.252397537231445,5.515459060668945,utilities,5.515459060668945
lerobot\tests\processor\test_gaussian_actor_processor.py,26.56327247619629,6.215869426727295,22.220123291015625,36.721439361572266,7.179178237915039,robot_devices,36.721439361572266
lerobot\src\lerobot\scripts\lerobot_find_port.py,1.6980384588241577,2.0098462104797363,0.0,33.6920051574707,6.049408435821533,robot_devices,33.6920051574707
lerobot\tests\policies\rtc\test_modeling_rtc.py,21.022382736206055,2.828233480453491,57.18877410888672,20.952619552612305,8.249943733215332,policies,57.18877410888672
lerobot\src\lerobot\robots\hope_jr\config_hope_jr.py,16.296363830566406,4.9756903648376465,1.9357621669769287,52.33464813232422,5.5325212478637695,robot_devices,52.33464813232422
lerobot\tests\datasets\test_streaming_video_encoder.py,18.901077270507812,2.532074451446533,3.574679374694824,7.525754451751709,10.76984691619873,configs,18.901077270507812
lerobot\examples\rtc\eval_dataset.py,42.68489456176758,17.70459747314453,34.88860321044922,35.724365234375,24.405529022216797,configs,42.68489456176758
lerobot\src\lerobot\rollout\inference\factory.py,24.12962532043457,7.001500606536865,19.58004379272461,84.32898712158203,4.848514556884766,robot_devices,84.32898712158203
lerobot\src\lerobot\policies\act\processor_act.py,24.603933334350586,3.296281099319458,101.60935974121094,38.0737190246582,5.866237640380859,policies,101.60935974121094
lerobot\src\lerobot\robots\robot.py,19.692665100097656,2.3460052013397217,2.2195076942443848,66.56670379638672,4.350641250610352,robot_devices,66.56670379638672
lerobot\src\lerobot\rollout\strategies\core.py,28.772558212280273,8.267287254333496,21.61871910095215,60.62788772583008,25.66830062866211,robot_devices,60.62788772583008
lerobot\src\lerobot\policies\groot\modeling_groot.py,36.06806182861328,12.456936836242676,100.96211242675781,46.90818405151367,33.39761734008789,policies,100.96211242675781
lerobot\src\lerobot\robots\lekiwi\__init__.py,0.0,0.7332543134689331,0.0,48.47834014892578,0.0,robot_devices,48.47834014892578
lerobot\src\lerobot\scripts\lerobot_find_cameras.py,26.848575592041016,7.808620929718018,7.481389045715332,10.161977767944336,19.39554214477539,configs,26.848575592041016
lerobot\src\lerobot\rl\learner.py,30.749229431152344,11.748006820678711,32.60462951660156,63.2678108215332,27.660085678100586,robot_devices,63.2678108215332
