file_path,configs,datasets,environments,policies,utilities,best_module,best_likelihood
lerobot\src\lerobot\robots\hope_jr\config_hope_jr.py,16.201547622680664,6.321742057800293,4.98894739151001,1.9427704811096191,5.537994384765625,configs,16.201547622680664
lerobot\tests\datasets\test_streaming_video_encoder.py,18.75600242614746,100.86739349365234,2.58620285987854,3.5254733562469482,10.754270553588867,datasets,100.86739349365234
lerobot\examples\rtc\eval_dataset.py,42.71208953857422,56.6369514465332,17.872812271118164,34.66476821899414,24.463212966918945,datasets,56.6369514465332
lerobot\src\lerobot\rollout\inference\factory.py,23.948759078979492,43.39804458618164,7.056859970092773,19.43548011779785,4.904962539672852,datasets,43.39804458618164
lerobot\src\lerobot\policies\act\processor_act.py,24.308387756347656,37.97454071044922,3.2418453693389893,94.9422378540039,5.670330047607422,policies,94.9422378540039
lerobot\src\lerobot\robots\robot.py,19.5731201171875,3.683624744415283,2.3817026615142822,2.2380056381225586,4.383886814117432,configs,19.5731201171875
lerobot\src\lerobot\rollout\strategies\core.py,28.553165435791016,56.635841369628906,8.308903694152832,21.50617790222168,25.758384704589844,datasets,56.635841369628906
lerobot\src\lerobot\policies\groot\modeling_groot.py,35.993289947509766,30.139841079711914,12.525053024291992,96.61483764648438,33.35215377807617,policies,96.61483764648438
lerobot\src\lerobot\robots\lekiwi\__init__.py,0.0,0.0,0.736594021320343,0.0,0.0,environments,0.736594021320343
lerobot\src\lerobot\scripts\lerobot_find_cameras.py,26.788991928100586,20.90182876586914,7.834700584411621,7.459450721740723,19.41983985900879,configs,26.788991928100586
lerobot\src\lerobot\rl\learner.py,30.59966468811035,61.613189697265625,11.711604118347168,32.310096740722656,27.621370315551758,datasets,61.613189697265625
lerobot\src\lerobot\processor\__init__.py,4.927145004272461,4.510367393493652,3.47257661819458,16.975149154663086,0.3628164529800415,policies,16.975149154663086
lerobot\src\lerobot\processor\device_processor.py,19.137434005737305,10.961946487426758,1.0,9.442399978637695,4.568697929382324,configs,19.137434005737305
lerobot\src\lerobot\policies\__init__.py,19.237028121948242,1.3688560724258423,3.730968713760376,91.82489013671875,3.6295645236968994,policies,91.82489013671875
lerobot\src\lerobot\robots\lekiwi\lekiwi_host.py,27.279956817626953,12.396190643310547,8.695064544677734,5.303839683532715,13.06911849975586,configs,27.279956817626953
lerobot\src\lerobot\rewards\robometer\modeling_robometer.py,23.189788818359375,14.844902038574219,3.673673391342163,12.454594612121582,15.088823318481445,configs,23.189788818359375
lerobot\examples\isaac_teleop_to_so101\isaac_teleop\teleop_xr_controller.py,20.30974769592285,1.0688482522964478,4.506407737731934,1.3052964210510254,7.988920211791992,configs,20.30974769592285
lerobot\src\lerobot\datasets\dataset_writer.py,12.932711601257324,115.75025939941406,7.994436740875244,9.418972969055176,20.101076126098633,datasets,115.75025939941406
lerobot\src\lerobot\policies\groot\__init__.py,0.7378369569778442,1.3016167879104614,0.7378369569778442,73.58869934082031,3.2140955924987793,policies,73.58869934082031
lerobot\src\lerobot\common\wandb_utils.py,32.760963439941406,54.86204147338867,11.322565078735352,27.5376033782959,20.367324829101562,datasets,54.86204147338867
lerobot\src\lerobot\robots\reachy2\configuration_reachy2.py,11.384028434753418,9.17919635772705,5.988725662231445,4.16530704498291,3.4550812244415283,configs,11.384028434753418
lerobot\tests\annotations\test_modules.py,21.96427345275879,113.45372772216797,8.06096076965332,6.821236610412598,26.566938400268555,datasets,113.45372772216797
lerobot\src\lerobot\scripts\lerobot_eval.py,23.42464256286621,105.0482177734375,38.553932189941406,24.278717041015625,24.9682559967041,datasets,105.0482177734375
lerobot\examples\isaac_teleop_to_so101\isaac_teleop\xr_controller_processor.py,3.3466575145721436,4.056527137756348,1.7727285623550415,8.0,2.3703510761260986,policies,8.0
lerobot\src\lerobot\teleoperators\utils.py,19.5224552154541,2.390385866165161,1.2181605100631714,0.27132970094680786,1.151693344116211,configs,19.5224552154541
lerobot\src\lerobot\optim\optimizers.py,20.962276458740234,9.500330924987793,5.080831527709961,1.9778707027435303,8.410417556762695,configs,20.962276458740234
