file_path,backtest,contrib,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\tuner\pipeline.py,110.11360931396484,67.97309112548828,32.2014274597168,5.6549882888793945,64.54191589355469,13.43340015411377,35.2913703918457,25.6064395904541,42.25920486450195,backtest,110.11360931396484
qlib\qlib\contrib\model\catboost_model.py,7.5734782218933105,68.23884582519531,96.80517578125,7.966554164886475,14.346579551696777,16.990299224853516,77.28826904296875,19.159486770629883,29.98464584350586,model,96.80517578125
qlib\qlib\contrib\eva\alpha.py,2.8593108654022217,60.566314697265625,18.775869369506836,4.549408435821533,20.837804794311523,8.383008003234863,9.236461639404297,18.200342178344727,8.68398380279541,contrib,60.566314697265625
qlib\scripts\collect_info.py,7.930725574493408,8.95893669128418,10.232269287109375,11.595600128173828,13.417641639709473,8.823358535766602,8.597627639770508,15.343439102172852,8.502647399902344,utils,15.343439102172852
qlib\examples\online_srv\online_management_simulate.py,119.24552917480469,36.53410339355469,23.953216552734375,37.26295852661133,33.97893524169922,124.19529724121094,48.112945556640625,28.63159942626953,112.6614990234375,strategy,124.19529724121094
qlib\qlib\contrib\model\pytorch_add.py,11.410799026489258,63.84881591796875,134.34295654296875,34.45703887939453,64.3621826171875,31.035621643066406,69.60369110107422,75.50386047363281,47.37803649902344,model,134.34295654296875
qlib\qlib\contrib\model\pytorch_tabnet.py,18.29734230041504,65.19673156738281,124.94281768798828,36.98575973510742,43.71943283081055,33.595428466796875,76.0951919555664,80.89998626708984,38.02730178833008,model,124.94281768798828
qlib\tests\rolling_tests\test_update_pred.py,9.922019004821777,24.62860679626465,107.95438385009766,7.250345706939697,7.760298728942871,16.457284927368164,119.5367660522461,28.83860206604004,148.33343505859375,workflow,148.33343505859375
qlib\scripts\check_dump_bin.py,19.0565242767334,17.15020751953125,20.39516258239746,32.19560241699219,42.44353485107422,18.84495735168457,23.43821144104004,33.935302734375,19.91069221496582,run,42.44353485107422
qlib\qlib\contrib\model\__init__.py,5.048914909362793,67.09162139892578,108.41555786132812,3.247861385345459,13.330297470092773,9.200089454650879,3.7003366947174072,8.73356819152832,8.729025840759277,model,108.41555786132812
qlib\qlib\utils\index_data.py,8.922517776489258,14.27871036529541,13.220975875854492,5.241673946380615,52.876461029052734,16.079566955566406,21.252676010131836,78.80902099609375,18.414318084716797,utils,78.80902099609375
qlib\qlib\data\ops.py,9.61849308013916,23.96493911743164,30.817543029785156,161.9499053955078,44.076934814453125,19.94377326965332,33.05046844482422,21.270366668701172,22.528549194335938,rl,161.9499053955078
