file_path,dsp,filter_bank,general,mir,best_module,best_likelihood
audioflux\src\filterbank\auditory_weight.h,1.4574424028396606,104.07108306884766,1.4574424028396606,1.0,filter_bank,104.07108306884766
audioflux\src\filterbank\chroma_filterBank.h,1.9564510583877563,96.25640106201172,1.9564510583877563,1.2907382249832153,filter_bank,96.25640106201172
audioflux\src\mir\pitchShift_algorithm.h,3.115767002105713,1.6507728099822998,2.064100742340088,77.37016296386719,mir,77.37016296386719
audioflux\src\mir\_pitch_lhs.h,0.1829575002193451,0.1829575002193451,0.1829575002193451,83.76232147216797,mir,83.76232147216797
audioflux\src\mir\_trist3.h,46.757041931152344,0.0,1.2988066673278809,75.11590576171875,mir,75.11590576171875
audioflux\src\mir\_pitch_ffp.c,71.21503448486328,118.10358428955078,7.536348819732666,87.94974517822266,filter_bank,118.10358428955078
audioflux\src\flux_spectral.h,3.728458881378174,9.09190559387207,9.244091033935547,11.206795692443848,mir,11.206795692443848
audioflux\src\cqt_algorithm.h,4.5599212646484375,40.13010787963867,4.512164115905762,2.0823488235473633,filter_bank,40.13010787963867
audioflux\src\dsp\filterDesign_iir.c,84.01142883300781,36.0,2.333650827407837,29.905969619750977,dsp,84.01142883300781
audioflux\src\wpt_algorithm.c,17.236454010009766,75.42813873291016,7.384974956512451,22.452953338623047,filter_bank,75.42813873291016
audioflux\src\dsp\phase_vocoder.h,86.82084655761719,0.0,2.315998077392578,5.503077030181885,dsp,86.82084655761719
audioflux\src\mir\_pitch_pef.h,0.18084493279457092,0.18084493279457092,0.18084493279457092,81.28319549560547,mir,81.28319549560547
audioflux\src\dsp\hilbert_algorithm.h,86.1026382446289,1.6546554565429688,4.375455379486084,2.907687187194824,dsp,86.1026382446289
audioflux\include\util\flux_util.h,19.14205551147461,26.803165435791016,5.710285186767578,45.057559967041016,mir,45.057559967041016
audioflux\src\mir\_pitch_ncf.c,0.47752702236175537,0.47752702236175537,0.9897605180740356,66.58104705810547,mir,66.58104705810547
audioflux\include\wvd_algorithm.h,3.365212917327881,1.897444486618042,2.3132386207580566,0.8454703092575073,dsp,3.365212917327881
audioflux\src\mir\timeStretch_algorithm.c,5.611198425292969,24.612018585205078,2.4293689727783203,70.02396392822266,mir,70.02396392822266
audioflux\include\dsp\resample_algorithm.h,83.41883087158203,1.8431177139282227,4.4597487449646,31.659225463867188,dsp,83.41883087158203
audioflux\include\feature\spectral_algorithm.h,8.575393676757812,11.170982360839844,10.771034240722656,48.041595458984375,mir,48.041595458984375
audioflux\include\mir\_pitch_cep.h,15.531888008117676,0.18317148089408875,0.6095247268676758,82.2371826171875,mir,82.2371826171875
audioflux\include\fst_algorithm.h,21.29338836669922,1.9313119649887085,2.624047040939331,1.1568362712860107,dsp,21.29338836669922
audioflux\src\stft_algorithm.h,3.0497705936431885,2.2971699237823486,2.0011606216430664,4.58111047744751,mir,4.58111047744751
audioflux\include\swt_algorithm.h,3.6355981826782227,2.1700518131256104,2.5838706493377686,1.1183245182037354,dsp,3.6355981826782227
