file_path,client,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\types.py,30.31846809387207,37.231876373291016,73.66305541992188,12.430655479431152,22.747098922729492,91.31178283691406,utilities,91.31178283691406
fastmcp\examples\auth\huggingface_oauth\client.py,67.94835662841797,6.1186699867248535,3.272722005844116,58.4161376953125,100.6376953125,13.273904800415039,tools,100.6376953125
fastmcp\tests\server\tasks\conftest.py,3.1502809524536133,0.0,0.9083235263824463,52.15960693359375,1.278977870941162,3.8906350135803223,server,52.15960693359375
fastmcp\tests\prompts\test_standalone_decorator.py,68.40509033203125,157.54037475585938,7.9896368980407715,55.27204895019531,10.146734237670898,18.258750915527344,prompts,157.54037475585938
fastmcp\tests\server\middleware\test_ping.py,80.55378723144531,3.83803391456604,10.278409957885742,53.67118453979492,38.17039108276367,24.448753356933594,client,80.55378723144531
fastmcp\tests\server\auth\test_oauth_proxy_redirect_validation.py,73.5139389038086,3.4484241008758545,16.699403762817383,53.984222412109375,6.827367305755615,18.184093475341797,client,73.5139389038086
fastmcp\tests\server\telemetry\test_server_tracing.py,73.06483459472656,141.289794921875,128.40585327148438,69.66171264648438,102.1919937133789,36.96176528930664,prompts,141.289794921875
fastmcp\fastmcp_slim\fastmcp\prompts\__init__.py,3.361121416091919,142.85128784179688,3.1380867958068848,7.039768695831299,4.7210845947265625,10.197563171386719,prompts,142.85128784179688
fastmcp\examples\versioning\versioned_components.py,82.22044372558594,55.877403259277344,47.69466018676758,9.32958698272705,100.80900573730469,22.43370819091797,tools,100.80900573730469
fastmcp\fastmcp_slim\fastmcp\server\middleware\logging.py,12.40358829498291,8.184554100036621,18.933712005615234,53.29479217529297,23.928741455078125,15.8890380859375,server,53.29479217529297
fastmcp\tests\cli\test_tasks.py,6.143448829650879,1.4351149797439575,4.479846477508545,56.121150970458984,3.999281406402588,13.475045204162598,server,56.121150970458984
fastmcp\examples\apps\greet_server.py,12.120367050170898,7.9099040031433105,1.0051357746124268,53.6654167175293,31.13886260986328,8.440169334411621,server,53.6654167175293
fastmcp\examples\filesystem-provider\server.py,11.212843894958496,5.496001720428467,10.234580039978027,55.445552825927734,6.358761787414551,16.52939796447754,server,55.445552825927734
fastmcp\fastmcp_slim\fastmcp\utilities\__init__.py,1.000583529472351,0.0,0.7929359674453735,1.2636632919311523,0.0,95.49039459228516,utilities,95.49039459228516
fastmcp\fastmcp_slim\fastmcp\server\providers\fastmcp_provider.py,13.506436347961426,163.47100830078125,140.3671875,67.91419219970703,99.23648834228516,41.257728576660156,prompts,163.47100830078125
fastmcp\tests\server\auth\providers\test_introspection.py,75.64419555664062,5.182423114776611,17.049240112304688,57.621829986572266,74.19307708740234,26.610319137573242,client,75.64419555664062
fastmcp\tests\client\test_stdio.py,75.68032836914062,7.958072185516357,32.572349548339844,61.23712158203125,92.5429458618164,23.392663955688477,tools,92.5429458618164
fastmcp\fastmcp_slim\fastmcp\server\providers\local_provider\__init__.py,4.66379976272583,0.0,3.9948277473449707,52.34374237060547,1.2770400047302246,10.548486709594727,server,52.34374237060547
fastmcp\tests\server\__init__.py,2.5125491619110107,0.0,0.5340031385421753,52.43632507324219,1.2793034315109253,4.41906213760376,server,52.43632507324219
fastmcp\tests\server\auth\oauth_proxy\test_authorization.py,68.41293334960938,33.956329345703125,15.377457618713379,50.994873046875,3.297823190689087,16.34157371520996,client,68.41293334960938
fastmcp\examples\search\server_regex.py,9.73000431060791,4.6455793380737305,3.7004010677337646,54.12041473388672,34.869346618652344,6.78535795211792,server,54.12041473388672
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\descope.py,71.67547607421875,4.33296537399292,52.50019073486328,66.2094497680664,7.292989253997803,33.525848388671875,client,71.67547607421875
fastmcp\fastmcp_slim\fastmcp\contrib\component_manager\component_manager.py,6.36629056930542,145.1761474609375,119.89350891113281,66.56363677978516,92.88202667236328,24.932456970214844,prompts,145.1761474609375
fastmcp\tests\server\tasks\test_server_tasks_parameter.py,70.58889770507812,73.66561126708984,61.334529876708984,61.22053909301758,39.586769104003906,35.82958984375,prompts,73.66561126708984
fastmcp\tests\conformance\__init__.py,1.000492811203003,0.0,0.5340031385421753,1.2641866207122803,0.0,2.907005786895752,utilities,2.907005786895752
fastmcp\tests\tools\tool\test_tool.py,18.362260818481445,9.547113418579102,56.06181335449219,12.824277877807617,111.1960220336914,50.58161926269531,tools,111.1960220336914
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\environments\base.py,7.866177082061768,3.0481362342834473,6.62786865234375,54.5098762512207,3.5123281478881836,100.99396514892578,utilities,100.99396514892578
fastmcp\examples\auth\keycloak_oauth\server.py,8.582292556762695,3.9766345024108887,2.3821637630462646,56.588863372802734,34.59217071533203,6.748055458068848,server,56.588863372802734
