file_path,app,backends,bin,concurrency,contrib,events,fixups,security,utils,worker,best_module,best_likelihood
celery\celery\app\utils.py,95.69869232177734,75.27886199951172,71.7403335571289,15.111189842224121,51.73542022705078,98.47722625732422,9.132240295410156,15.395000457763672,89.4959716796875,40.23921585083008,events,98.47722625732422
celery\docs\conf.py,82.14737701416016,61.61830520629883,123.63526916503906,106.37718200683594,140.8267364501953,14.351401329040527,130.6173858642578,8.429145812988281,107.62752532958984,106.8929214477539,contrib,140.8267364501953
celery\celery\backends\redis.py,81.24935150146484,143.58486938476562,113.72088623046875,19.96904182434082,21.399106979370117,75.76695251464844,4.920734405517578,24.993751525878906,22.076318740844727,20.697431564331055,backends,143.58486938476562
celery\t\unit\backends\test_arangodb.py,69.52660369873047,147.12997436523438,49.05295181274414,11.536703109741211,17.33275604248047,6.844276428222656,5.738365650177002,9.018799781799316,16.177082061767578,14.848146438598633,backends,147.12997436523438
celery\t\unit\worker\test_components.py,17.293611526489258,14.757210731506348,23.789098739624023,26.512821197509766,14.49068546295166,101.61730194091797,4.422150135040283,5.7331013679504395,16.571496963500977,85.92394256591797,events,101.61730194091797
celery\docs\_ext\celerydocs.py,103.727294921875,117.54010009765625,53.54640579223633,23.885894775390625,64.96429443359375,156.96810913085938,111.58094787597656,106.11162567138672,106.87521362304688,91.45095825195312,events,156.96810913085938
celery\examples\django\demoapp\models.py,5.913576126098633,1.9558794498443604,5.312793731689453,11.44493293762207,7.103460788726807,2.9567878246307373,5.988580226898193,2.9567878246307373,6.622986793518066,4.912667274475098,concurrency,11.44493293762207
celery\examples\django\manage.py,7.381847381591797,2.879523754119873,25.323787689208984,7.212123394012451,7.861568450927734,3.3948025703430176,8.302495956420898,3.7281649112701416,11.43820858001709,7.024145126342773,bin,25.323787689208984
celery\t\integration\__init__.py,2.1751198768615723,0.1732824742794037,3.1760387420654297,3.2024028301239014,6.378788471221924,1.0009187459945679,3.003103017807007,1.0009187459945679,1.174201250076294,1.174201250076294,contrib,6.378788471221924
celery\examples\django\demoapp\migrations\0001_initial.py,9.372000694274902,5.400670051574707,5.318309307098389,12.204050064086914,16.428546905517578,3.890432596206665,5.955783367156982,7.976659297943115,5.700843811035156,4.020007133483887,contrib,16.428546905517578
celery\t\unit\utils\test_imports.py,74.32612609863281,15.270923614501953,106.95738983154297,17.83475112915039,21.65596580505371,9.335044860839844,10.562335014343262,8.74411392211914,112.541015625,77.34304809570312,utils,112.541015625
celery\t\unit\utils\test_serialization.py,15.64681625366211,9.673123359680176,51.95859909057617,15.082697868347168,14.793906211853027,6.399304389953613,5.965996265411377,14.062332153320312,108.62052154541016,13.283432006835938,utils,108.62052154541016
celery\celery\app\base.py,129.9365997314453,144.18527221679688,175.08912658691406,38.71531295776367,77.23725891113281,125.31250762939453,226.56448364257812,117.90475463867188,56.833763122558594,144.0419464111328,fixups,226.56448364257812
celery\examples\django\demoapp\migrations\__init__.py,2.1747262477874756,0.17289286851882935,3.175642967224121,0.0,8.698939323425293,1.0009167194366455,4.050981044769287,1.0009167194366455,1.17380952835083,1.17380952835083,contrib,8.698939323425293
celery\t\unit\app\test_builtins.py,80.38401794433594,66.92801666259766,24.600326538085938,6.582695960998535,14.88270092010498,2.858097553253174,2.0221738815307617,4.21626091003418,12.112812042236328,85.48930358886719,worker,85.48930358886719
celery\t\smoke\tests\test_consumer.py,73.91754150390625,52.919063568115234,40.26652908325195,116.85763549804688,15.480788230895996,4.482551097869873,1.4811640977859497,11.034096717834473,14.251376152038574,112.58706665039062,concurrency,116.85763549804688
celery\examples\eventlet\celeryconfig.py,10.20240592956543,10.51463508605957,15.314539909362793,6.261045932769775,5.479243755340576,8.298107147216797,1.000894546508789,2.7574429512023926,7.089153289794922,91.75376892089844,worker,91.75376892089844
celery\t\smoke\operations\task_termination.py,46.21415328979492,3.264859676361084,11.176456451416016,3.264859676361084,4.320005893707275,2.9188385009765625,2.6012613773345947,2.63327956199646,9.396502494812012,79.22401428222656,worker,79.22401428222656
celery\celery\security\__init__.py,64.93543243408203,7.0382866859436035,9.550520896911621,5.2231059074401855,4.492656230926514,5.335748195648193,2.313894033432007,167.1992645263672,5.999154567718506,7.077213287353516,security,167.1992645263672
celery\t\unit\contrib\proj\__init__.py,3.4749231338500977,0.17289286851882935,3.175642967224121,0.6683458685874939,99.88346099853516,1.0009167194366455,1.0009167194366455,1.0009167194366455,1.17380952835083,2.4740066528320312,contrib,99.88346099853516
