file_path,backtest,contrib,data,model,rl,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\data\processor.py,2.281186103820801,59.83391189575195,74.50082397460938,3.042210578918457,4.34208345413208,6.460906982421875,11.039538383483887,10.7076416015625,18.782264709472656,data,74.50082397460938
qlib\qlib\rl\strategy\__init__.py,3.6284241676330566,5.94570779800415,0.0,1.0013008117675781,86.6097412109375,98.20487213134766,1.0013008117675781,5.94570779800415,7.3212785720825195,strategy,98.20487213134766
qlib\scripts\get_data.py,3.2397048473358154,5.4440836906433105,65.40563201904297,3.4237849712371826,4.186580657958984,4.408907890319824,7.232298374176025,9.61220932006836,9.980127334594727,data,65.40563201904297
qlib\qlib\rl\data\pickle_styled.py,102.30735778808594,13.037714004516602,101.72526550292969,7.960189342498779,69.60189056396484,5.1823248863220215,12.816473007202148,23.013572692871094,41.64011001586914,backtest,102.30735778808594
qlib\tests\misc\test_sepdf.py,1.0010271072387695,7.099628925323486,62.27751159667969,2.256809711456299,3.4846580028533936,3.807429313659668,105.2437515258789,10.062397003173828,14.54712200164795,tests,105.2437515258789
qlib\qlib\model\riskmodel\base.py,3.2532291412353516,18.316814422607422,55.78536605834961,70.68013763427734,6.142918109893799,9.785868644714355,11.6385498046875,17.70726203918457,43.234989166259766,model,70.68013763427734
qlib\tests\rl\test_finite_env.py,5.082019329071045,10.946786880493164,59.072349548339844,10.186359405517578,66.392578125,6.183948040008545,103.8018798828125,12.258391380310059,44.825042724609375,tests,103.8018798828125
qlib\qlib\contrib\torch.py,1.001240611076355,63.07352828979492,68.98033905029297,2.557981491088867,1.001240611076355,1.001240611076355,6.254482746124268,7.223929405212402,10.52342700958252,data,68.98033905029297
qlib\qlib\backtest\account.py,82.30867767333984,14.346181869506836,63.63705825805664,30.183029174804688,15.598482131958008,23.89044189453125,14.772671699523926,14.653889656066895,45.12754440307617,backtest,82.30867767333984
qlib\qlib\rl\order_execution\interpreter.py,4.031042098999023,9.604872703552246,86.9041748046875,6.586231708526611,72.95708465576172,5.077611446380615,9.35704517364502,19.233909606933594,32.369468688964844,data,86.9041748046875
qlib\qlib\contrib\model\pytorch_gats.py,6.933157444000244,71.55460357666016,114.16792297363281,112.8536376953125,39.06479263305664,26.136932373046875,78.45899963378906,76.3508529663086,66.68412780761719,data,114.16792297363281
qlib\tests\model\test_general_nn.py,3.171416759490967,74.94991302490234,86.73836517333984,84.9078369140625,6.326673984527588,11.27399730682373,143.876953125,18.537948608398438,29.474578857421875,tests,143.876953125
qlib\qlib\backtest\utils.py,76.74207305908203,14.24700927734375,76.85414123535156,3.6313297748565674,6.291375160217285,8.654924392700195,14.057098388671875,81.10694122314453,22.6122989654541,utils,81.10694122314453
qlib\qlib\contrib\model\pytorch_adarnn.py,9.772711753845215,68.31507110595703,117.01107025146484,106.17784118652344,49.150177001953125,24.261751174926758,70.37705993652344,79.71199798583984,64.93995666503906,data,117.01107025146484
qlib\qlib\rl\simulator.py,5.740713596343994,4.758212566375732,0.4393358826637268,1.00127375125885,84.8847885131836,1.2163790464401245,1.00127375125885,5.015395164489746,5.4717230796813965,rl,84.8847885131836
qlib\qlib\contrib\tuner\pipeline.py,106.88536834716797,66.83857727050781,82.41349029541016,24.393205642700195,4.605122089385986,9.481571197509766,33.48808288574219,21.993444442749023,45.21455001831055,backtest,106.88536834716797
qlib\qlib\contrib\model\catboost_model.py,4.2484025955200195,69.89107513427734,79.38285827636719,85.1153564453125,10.722131729125977,13.036654472351074,75.20195007324219,15.33586597442627,50.649986267089844,model,85.1153564453125
qlib\qlib\contrib\eva\alpha.py,1.3110554218292236,64.27862548828125,69.391357421875,14.599814414978027,5.72651481628418,9.082931518554688,9.236461639404297,16.28865623474121,20.003742218017578,data,69.391357421875
qlib\scripts\collect_info.py,4.763883113861084,3.8397858142852783,17.6600341796875,3.898285150527954,8.961222648620605,5.202041149139404,5.863111972808838,9.626220703125,5.91916561126709,data,17.6600341796875
qlib\examples\online_srv\online_management_simulate.py,113.61854553222656,33.71931076049805,68.14295196533203,12.504647254943848,39.64347457885742,113.0284652709961,45.076263427734375,24.897798538208008,140.8157501220703,workflow,140.8157501220703
qlib\qlib\contrib\model\pytorch_add.py,5.429566860198975,66.77693176269531,101.87944793701172,117.24237060546875,36.34835433959961,25.33247947692871,66.9975814819336,69.3055191040039,72.8855209350586,model,117.24237060546875
qlib\qlib\contrib\model\pytorch_tabnet.py,12.832258224487305,66.1628189086914,88.4375228881836,105.36624908447266,38.57147216796875,26.72723388671875,73.45109558105469,74.18831634521484,56.120201110839844,model,105.36624908447266
qlib\tests\rolling_tests\test_update_pred.py,7.122813701629639,25.74085235595703,84.54441833496094,91.5840072631836,9.156044006347656,18.27417755126953,115.77265167236328,23.69036293029785,195.81988525390625,workflow,195.81988525390625
qlib\scripts\check_dump_bin.py,16.61196517944336,12.708732604980469,88.29597473144531,10.385172843933105,33.184112548828125,11.967720031738281,22.956819534301758,27.702455520629883,20.267398834228516,data,88.29597473144531
qlib\qlib\contrib\model\__init__.py,3.3250863552093506,66.93370819091797,7.962341785430908,95.55050659179688,2.939119338989258,9.172700881958008,3.391594886779785,7.98480224609375,19.397138595581055,model,95.55050659179688
qlib\qlib\utils\index_data.py,4.80282735824585,15.214344024658203,90.73312377929688,5.907876968383789,6.108712196350098,7.7205424308776855,20.727710723876953,76.9015884399414,28.417526245117188,data,90.73312377929688
qlib\qlib\data\ops.py,9.291021347045898,24.40323257446289,70.32038879394531,21.688247680664062,168.89781188964844,23.222518920898438,32.29597091674805,17.797285079956055,41.5371208190918,rl,168.89781188964844
qlib\qlib\data\storage\__init__.py,1.4104183912277222,3.7253358364105225,67.27139282226562,1.0012961626052856,1.0012961626052856,1.0012961626052856,5.9913330078125,5.055347919464111,12.147467613220215,data,67.27139282226562
qlib\qlib\utils\serial.py,4.241159915924072,9.216103553771973,13.960273742675781,3.922726631164551,25.373167037963867,6.408385753631592,3.844536304473877,76.66951751708984,9.933794975280762,utils,76.66951751708984
qlib\examples\online_srv\update_online_pred.py,8.201518058776855,22.913402557373047,75.1301040649414,22.088937759399414,10.66030502319336,18.060190200805664,19.458179473876953,18.812715530395508,190.45701599121094,workflow,190.45701599121094
qlib\qlib\rl\utils\env_wrapper.py,2.8044209480285645,13.24301815032959,2.665073871612549,18.638545989990234,83.68135070800781,10.063542366027832,8.074212074279785,93.08139038085938,19.980602264404297,utils,93.08139038085938
qlib\examples\benchmarks\TFT\expt_settings\configs.py,4.653459548950195,22.55950355529785,81.72582244873047,89.6554946899414,5.050491809844971,9.112363815307617,12.423933982849121,12.812760353088379,41.746707916259766,model,89.6554946899414
qlib\qlib\model\riskmodel\shrink.py,3.0421857833862305,7.189413070678711,21.83205795288086,56.489036560058594,6.53845739364624,7.669185638427734,9.809669494628906,10.010899543762207,18.414493560791016,model,56.489036560058594
qlib\qlib\rl\trainer\trainer.py,8.450634002685547,14.310042381286621,22.728130340576172,17.788639068603516,78.26652526855469,18.930206298828125,45.086769104003906,19.64101791381836,44.54993438720703,rl,78.26652526855469
qlib\qlib\contrib\report\__init__.py,16.52203369140625,67.61569213867188,1.4070649147033691,70.62239074707031,5.499880790710449,5.429525375366211,2.503692150115967,5.29860258102417,24.58913230895996,model,70.62239074707031
qlib\tests\rl\test_saoe_simple.py,101.25686645507812,15.826019287109375,84.83487701416016,6.103634357452393,77.64557647705078,78.46418762207031,94.50170135498047,27.17576789855957,49.1187858581543,backtest,101.25686645507812
qlib\qlib\data\pit.py,1.9058730602264404,12.78700065612793,68.86734771728516,19.21892547607422,9.311602592468262,13.659387588500977,16.045543670654297,13.94998836517334,19.960933685302734,data,68.86734771728516
qlib\qlib\contrib\model\pytorch_gats_ts.py,6.7047295570373535,71.20158386230469,119.55237579345703,110.60474395751953,66.22502899169922,25.787431716918945,72.7164077758789,76.01661682128906,71.229736328125,data,119.55237579345703
qlib\tests\test_contrib_model.py,3.412733316421509,70.98831939697266,0.0,98.03119659423828,3.8840811252593994,8.55273723602295,106.88605499267578,11.185929298400879,25.471811294555664,tests,106.88605499267578
qlib\examples\highfreq\highfreq_ops.py,1.5156258344650269,8.178810119628906,16.786911010742188,2.075853109359741,47.137821197509766,2.5555830001831055,11.67945671081543,6.372952938079834,10.966774940490723,rl,47.137821197509766
qlib\examples\benchmarks\LightGBM\multi_freq_handler.py,6.67560338973999,15.990276336669922,79.08067321777344,7.295901298522949,4.367409706115723,3.7373547554016113,15.420945167541504,13.77902603149414,19.358722686767578,data,79.08067321777344
qlib\qlib\rl\data\base.py,1.0012565851211548,8.36638355255127,77.14610290527344,4.6603546142578125,83.82084655761719,2.433166265487671,6.6196794509887695,13.356772422790527,16.338703155517578,rl,83.82084655761719
qlib\qlib\rl\trainer\callbacks.py,7.6324872970581055,19.48029136657715,68.44731903076172,91.5588150024414,77.6429443359375,15.855570793151855,71.83718872070312,19.127117156982422,67.12588500976562,model,91.5588150024414
qlib\qlib\rl\aux_info.py,8.751373291015625,4.423840045928955,0.4393358826637268,1.00127375125885,84.8847885131836,3.9834253787994385,1.00127375125885,4.663630962371826,9.715209007263184,rl,84.8847885131836
qlib\qlib\data\dataset\processor.py,6.240853786468506,10.576587677001953,78.59461212158203,19.449735641479492,10.278966903686523,12.857010841369629,23.090940475463867,22.041278839111328,38.43955612182617,data,78.59461212158203
qlib\qlib\contrib\model\pytorch_gru_ts.py,6.745408058166504,73.98492431640625,95.5193099975586,100.43073272705078,93.46536254882812,23.785329818725586,71.06271362304688,79.39385223388672,62.29231643676758,model,100.43073272705078
qlib\examples\benchmarks\TFT\data_formatters\base.py,14.91035270690918,13.437647819519043,84.2091293334961,14.774247169494629,3.1532399654388428,8.384899139404297,13.832152366638184,15.233875274658203,35.02708435058594,data,84.2091293334961
