file_path,cli,client,prompts,server,tools,utilities,best_module,best_likelihood
fastmcp\tests\server\auth\providers\test_google.py,50.67702102661133,67.0226821899414,37.676963806152344,52.21440887451172,12.872258186340332,12.949357986450195,client,67.0226821899414
fastmcp\examples\auth\huggingface_oauth\server.py,41.1120719909668,68.83284759521484,2.179152488708496,53.363685607910156,23.49327278137207,7.490261077880859,client,68.83284759521484
fastmcp\fastmcp_slim\fastmcp\server\auth\authorization.py,14.229069709777832,4.977002143859863,0.0,48.315738677978516,1.272919774055481,2.051880121231079,server,48.315738677978516
fastmcp\fastmcp_slim\fastmcp\server\dependencies.py,82.07500457763672,77.13353729248047,4.75298547744751,56.48771286010742,23.42344856262207,21.484689712524414,cli,82.07500457763672
fastmcp\fastmcp_slim\fastmcp\client\mixins\tools.py,59.683692932128906,78.93116760253906,9.644710540771484,54.86521911621094,108.66144561767578,21.736303329467773,tools,108.66144561767578
fastmcp\examples\prompts_as_tools\server.py,5.884607791900635,9.578069686889648,130.15277099609375,55.74653244018555,66.72579956054688,5.353156089782715,prompts,130.15277099609375
fastmcp\fastmcp_remote\fastmcp_remote\__init__.py,2.4592716693878174,1.2296358346939087,0.0,1.2296358346939087,1.805519461631775,1.4899795055389404,cli,2.4592716693878174
fastmcp\tests\tools\test_standalone_decorator.py,52.097373962402344,71.1651611328125,112.89231872558594,59.86101531982422,96.23478698730469,21.955219268798828,prompts,112.89231872558594
fastmcp\tests\utilities\test_http.py,2.1833980083465576,1.821514368057251,0.0,49.06352615356445,1.3096098899841309,94.94159698486328,utilities,94.94159698486328
fastmcp\tests\conformance\server.py,28.527507781982422,32.10969161987305,56.06330490112305,56.707183837890625,32.45949172973633,20.795955657958984,server,56.707183837890625
fastmcp\tests\server\http\test_custom_routes.py,14.550275802612305,5.766888618469238,0.19004257023334503,51.411949157714844,1.5422587394714355,5.229300498962402,server,51.411949157714844
fastmcp\fastmcp_slim\fastmcp\server\middleware\authorization.py,45.49275588989258,6.743528366088867,148.07118225097656,53.960628509521484,91.13424682617188,13.976202011108398,prompts,148.07118225097656
fastmcp\tests\cli\test_with_argv.py,61.280391693115234,0.0,0.0,0.0,0.22561468183994293,4.2387847900390625,cli,61.280391693115234
fastmcp\tests\server\test_providers.py,26.64690589904785,20.059097290039062,104.99162292480469,60.940006256103516,98.27032470703125,22.014440536499023,prompts,104.99162292480469
fastmcp\fastmcp_remote\fastmcp_remote\cli.py,66.81539916992188,83.63314056396484,3.431136131286621,59.41190719604492,104.80684661865234,25.562274932861328,tools,104.80684661865234
fastmcp\tests\server\mount\test_resources.py,27.63027000427246,8.511893272399902,9.220211029052734,47.839542388916016,7.959792613983154,7.577238082885742,server,47.839542388916016
fastmcp\fastmcp_slim\fastmcp\experimental\transforms\code_mode.py,37.39442443847656,22.953584671020508,4.41146993637085,10.100189208984375,112.91636657714844,24.126218795776367,tools,112.91636657714844
fastmcp\fastmcp_slim\fastmcp\mcp_config.py,61.56135940551758,78.427001953125,3.5967254638671875,69.00405883789062,97.48993682861328,17.06459617614746,tools,97.48993682861328
